issn	journal_name	pub_name	is_hybrid	category
0008-8749	Cellular Immunology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0008-8846	Cement and Concrete Research	Elsevier	1	STRUCTURAL ENGINEERING
0009-2509	Chemical Engineering Science	Elsevier	1	NULL
0009-2541	Chemical Geology	Elsevier	1	NULL
0009-2614	Chemical Physics Letters	Elsevier	1	PHYSICS AND CHEMISTRY
0009-2797	Chemico-Biological Interactions	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0009-2819	Chemie der Erde - Geochemistry - Interdisciplinary Journal for Chemical Problems of the Geosciences and Geoecology	Elsevier	1	NULL
0009-3084	Chemistry and Physics of Lipids	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0009-739X	Cirugia Espanola	Elsevier	1	GASTROENTEROLOGY
0009-7411	Cirug a y Cirujanos	Elsevier	0	GASTROENTEROLOGY
0009-8981	Clinica Chimica Acta	Elsevier	1	MEDICINE
0009-9120	Clinical Biochemistry	Elsevier	1	MEDICINE
0009-9260	Clinical Radiology	Elsevier	1	RADIOLOGY
0010-0277	Cognition	Elsevier	1	PSYCHOLOGY
0010-0285	Cognitive Psychology	Elsevier	1	PSYCHOLOGY
0010-2180	Combustion and Flame	Elsevier	1	FLUID MECHANICS
0010-440X	Comprehensive Psychiatry	Elsevier	1	PSYCHIATRY
0010-4485	Computer-Aided Design	Elsevier	1	NULL
0010-4655	Computer Physics Communications	Elsevier	1	HIGH ENERGY PHYSICS
0010-4825	Computers in Biology and Medicine	Elsevier	1	RADIOLOGY
0010-7824	Contraception	Elsevier	1	MEDICINE
0010-8545	Coordination Chemistry Reviews	Elsevier	1	PHYSICS AND CHEMISTRY
0010-8650	Cor et Vasa	Elsevier	1	NULL
0010-938X	Corrosion Science	Elsevier	1	PHYSICS AND CHEMISTRY
0010-9452	Cortex	Elsevier	1	NEUROSCIENCE
0011-2240	Cryobiology	Elsevier	1	VETERINARY
0011-2275	Cryogenics	Elsevier	1	PHYSICS AND CHEMISTRY
0011-3840	Current Problems in Surgery	Elsevier	1	GASTROENTEROLOGY
0011-393X	Current Therapeutic Research	Elsevier	0	NULL
0011-5029	Disease-A-Month	Elsevier	1	MEDICINE
0011-8486	Dental Abstracts	Elsevier	1	NULL
0011-8532	Dental Clinics of North America	Elsevier	1	NULL
0011-9164	Desalination	Elsevier	1	NULL
0012-1606	Developmental Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0012-365X	Discrete Mathematics	Elsevier	1	COMPUTER SCIENCE
0012-3692	Chest	Elsevier	1	MEDICINE
0012-821X	Earth and Planetary Science Letters	Elsevier	1	NULL
0012-8252	Earth-Science Reviews	Elsevier	1	NULL
0013-4686	Electrochimica Acta	Elsevier	1	PHYSICS AND CHEMISTRY
0013-7006	L'Enc phale	Elsevier	1	PSYCHIATRY
0013-7944	Engineering Fracture Mechanics	Elsevier	1	STRUCTURAL ENGINEERING
0013-7952	Engineering Geology	Elsevier	1	GEOTECHNOLOGY
0013-9351	Environmental Research	Elsevier	1	ENVIRONMENTAL HEALTH
0014-2565	Revista clinica espanola	Elsevier	1	MEDICINE
0014-2921	European Economic Review	Elsevier	1	ECONOMICS
0014-2999	European Journal of Pharmacology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0014-3057	European Polymer Journal	Elsevier	1	PHYSICS AND CHEMISTRY
0014-3855	L' volution psychiatrique	Elsevier	1	PSYCHIATRY
0014-4800	Experimental and Molecular Pathology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0014-4827	Experimental Cell Research	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0014-4835	Experimental Eye Research	Elsevier	1	OPHTHALMOLOGY
0014-4886	Experimental Neurology	Elsevier	1	NEUROSCIENCE
0014-4894	Experimental Parasitology	Elsevier	1	INFECTIOUS DISEASES
0014-4983	Explorations in Economic History	Elsevier	1	HISTORY
0015-0282	Fertility and Sterility	Elsevier	1	MEDICINE
0015-1920	Finance a Uver-Czech Journal of Economics and Finance	Faculty Social Sciences Charles Univ	0	ECONOMICS
0015-704X	Fordham Law Review	Fordham Univ School Law	0	LAW
0016-0032	Journal of the Franklin Institute	Elsevier	1	ROBOTICS
0016-2361	Fuel	Elsevier	1	NULL
0016-3287	Futures	Elsevier	1	NULL
0016-5085	Gastroenterology	Elsevier	1	GASTROENTEROLOGY
0016-5107	Gastrointestinal Endoscopy	Elsevier	1	GASTROENTEROLOGY
0016-6480	General and Comparative Endocrinology	Elsevier	1	ECOLOGY AND EVOLUTION
0016-6995	Geobios	Elsevier	1	NULL
0016-7037	Geochimica et Cosmochimica Acta	Elsevier	1	NULL
0016-7061	Geoderma	Elsevier	1	PLANT BIOLOGY
0016-7169	Geofisica Internacional	Self Owned - Non-Profit Society	0	NULL
0016-7185	Geoforum	Elsevier	1	NULL
0016-7878	Proceedings of the Geologists' Association	Elsevier	1	NULL
0016-8076	George Washington Law Review	George Washington Univ	0	LAW
0016-8092	Georgetown Law Journal	Georgetown Law Journal Assn	0	LAW
0017-0011	Ginekologia Polska	Self Owned - Non-Profit Society	0	MEDICINE
0017-808X	Harvard Journal on Legislation	Harvard Law School	0	LAW
0017-8322	Hastings Law Journal	Univ Calif	0	LAW
0017-9310	International Journal of Heat and Mass Transfer	Elsevier	1	ENERGY
0018-2079	Hiroshima Mathematical Journal	Self Owned - Non-Profit Society	0	MATHEMATICS
0018-442X	HOMO - Journal of Comparative Human Biology	Elsevier	1	ANTHROPOLOGY
0018-506X	Hormones and Behavior	Elsevier	1	NEUROSCIENCE
0019-0578	ISA Transactions	Elsevier	1	ROBOTICS
0019-1035	Icarus	Elsevier	1	NULL
0019-3577	Indagationes Mathematicae	Elsevier	1	MATHEMATICS
0019-4832	Indian Heart Journal	Elsevier	0	NULL
0019-5308	Indian Journal of Labour Economics	Springer	1	NULL
0019-5413	Indian Journal of Orthopaedics	Medknow Publications	0	ORTHOPEDICS
0019-8501	Industrial Marketing Management	Elsevier	1	MARKETING
0020-0190	Information Processing Letters	Elsevier	1	COMPUTER SCIENCE
0020-0255	Information Sciences	Elsevier	1	OPERATIONS RESEARCH
0020-1383	Injury	Elsevier	1	ORTHOPEDICS
0020-1693	Inorganica Chimica Acta	Elsevier	1	PHYSICS AND CHEMISTRY
0020-7063	International Journal of Accounting	Elsevier	1	NULL
0020-7225	International Journal of Engineering Science	Elsevier	1	STRUCTURAL ENGINEERING
0020-7292	International Journal of Gynecology and Obstetrics	Elsevier	1	MEDICINE
0020-7403	International Journal of Mechanical Sciences	Elsevier	1	STRUCTURAL ENGINEERING
0020-7462	International Journal of Non-Linear Mechanics	Elsevier	1	STRUCTURAL ENGINEERING
0020-7489	International Journal of Nursing Studies	Elsevier	1	MEDICINE
0020-7519	International Journal for Parasitology	Elsevier	1	INFECTIOUS DISEASES
0020-7683	International Journal of Solids and Structures	Elsevier	1	STRUCTURAL ENGINEERING
0021-7557	Jornal de Pediatria	Elsevier	0	MEDICINE
0021-7824	Journal de math matiques pures et appliqu es	Elsevier	1	MATHEMATICS
0021-8502	Journal of Aerosol Science	Elsevier	1	NULL
0021-8693	Journal of Algebra	Elsevier	1	MATHEMATICS
0021-8928	Journal of Applied Mathematics and Mechanics	Elsevier	1	MATHEMATICS
0021-9045	Journal of Approximation Theory	Elsevier	1	MATHEMATICS
0021-9150	Atherosclerosis	Elsevier	1	MEDICINE
0021-9290	Journal of Biomechanics	Elsevier	1	SPORTS MEDICINE
0021-9517	Journal of Catalysis	Elsevier	1	PHYSICS AND CHEMISTRY
0021-9614	The Journal of Chemical Thermodynamics	Elsevier	1	NULL
0021-9673	Journal of Chromatography A	Elsevier	1	NULL
0021-9797	Journal of Colloid And Interface Science	Elsevier	1	PHYSICS AND CHEMISTRY
0021-9924	Journal of Communication Disorders	Elsevier	1	NULL
0021-9975	Journal of Comparative Pathology	Elsevier	1	VETERINARY
0021-9991	Journal of Computational Physics	Elsevier	1	MATHEMATICS
0022-0000	Journal of Computer and System Sciences	Elsevier	1	COMPUTER SCIENCE
0022-0248	Journal of Crystal Growth	Elsevier	1	PHYSICS AND CHEMISTRY
0022-0302	Journal of Dairy Science	Elsevier	1	VETERINARY
0022-0396	Journal of Differential Equations	Elsevier	1	MATHEMATICS
0022-0531	Journal of Economic Theory	Elsevier	1	ECONOMICS
0022-0736	Journal of Electrocardiology	Elsevier	1	MEDICINE
0022-0965	Journal of Experimental Child Psychology	Elsevier	1	PSYCHOLOGY
0022-0981	Journal of Experimental Marine Biology and Ecology	Elsevier	1	ECOLOGY AND EVOLUTION
0022-1031	Journal of Experimental Social Psychology	Elsevier	1	PSYCHOLOGY
0022-1139	Journal of Fluorine Chemistry	Elsevier	1	PHYSICS AND CHEMISTRY
0022-1236	Journal of Functional Analysis	Elsevier	1	MATHEMATICS
0022-1333	Journal of Genetics	Springer	0	MOLECULAR AND CELL BIOLOGY
0022-1694	Journal of Hydrology	Elsevier	1	NULL
0022-1759	Journal of Immunological Methods	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0022-1910	Journal of Insect Physiology	Elsevier	1	ECOLOGY AND EVOLUTION
0022-1996	Journal of International Economics	Elsevier	1	ECONOMICS
0022-2011	Journal of Invertebrate Pathology	Elsevier	1	ECOLOGY AND EVOLUTION
0022-202X	Journal of Investigative Dermatology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0022-2313	Journal of Luminescence	Elsevier	1	PHYSICS AND CHEMISTRY
0022-247X	Journal of Mathematical Analysis and Applications	Elsevier	1	MATHEMATICS
0022-2496	Journal of Mathematical Psychology	Elsevier	1	PSYCHOLOGY
0022-2828	Journal of Molecular and Cellular Cardiology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0022-2836	Journal of Molecular Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0022-2852	Journal of Molecular Spectroscopy	Elsevier	1	PHYSICS AND CHEMISTRY
0022-2860	Journal of Molecular Structure	Elsevier	1	PHYSICS AND CHEMISTRY
0022-3093	Journal of Non-Crystalline Solids	Elsevier	1	PHYSICS AND CHEMISTRY
0022-3115	Journal of Nuclear Materials	Elsevier	1	PHYSICS AND CHEMISTRY
0022-314X	Journal of Number Theory	Elsevier	1	MATHEMATICS
0022-328X	Journal of Organometallic Chemistry	Elsevier	1	PHYSICS AND CHEMISTRY
0022-3468	Journal of Pediatric Surgery	Elsevier	1	GASTROENTEROLOGY
0022-3476	The Journal of Pediatrics	Elsevier	1	MEDICINE
0022-3549	Journal of Pharmaceutical Sciences	Elsevier	1	PHARMACOLOGY
0022-3697	Journal of Physics and Chemistry of Solids	Elsevier	1	PHYSICS AND CHEMISTRY
0022-3859	Journal of Postgraduate Medicine	Self Owned - Non-Profit Society	0	MEDICINE
0022-3913	The Journal of Prosthetic Dentistry	Elsevier	1	DENTISTRY
0022-3956	Journal of Psychiatric Research	Elsevier	1	PSYCHIATRY
0022-3999	Journal of Psychosomatic Research	Elsevier	1	PSYCHIATRY
0022-4049	Journal of Pure and Applied Algebra	Elsevier	1	MATHEMATICS
0022-4073	Journal of Quantitative Spectroscopy and Radiative Transfer	Elsevier	1	PHYSICS AND CHEMISTRY
0022-4359	Journal of Retailing	Elsevier	1	MARKETING
0022-4375	Journal of Safety Research	Elsevier	1	TRANSPORTATION
0022-4405	Journal of School Psychology	Elsevier	1	EDUCATION
0022-4596	Journal of Solid State Chemistry	Elsevier	1	PHYSICS AND CHEMISTRY
0022-460X	Journal of Sound and Vibration	Elsevier	1	STRUCTURAL ENGINEERING
0022-474X	Journal of Stored Products Research	Elsevier	1	ECOLOGY AND EVOLUTION
0022-4804	Journal of Surgical Research	Elsevier	1	GASTROENTEROLOGY
0022-4898	Journal of Terramechanics	Elsevier	1	PLANT BIOLOGY
0022-5096	Journal of the Mechanics and Physics of Solids	Elsevier	1	STRUCTURAL ENGINEERING
0022-510X	Journal of the Neurological Sciences	Elsevier	1	NEUROSCIENCE
0022-5193	Journal of Theoretical Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0022-5223	The Journal of Thoracic and Cardiovascular Surgery	Elsevier	1	MEDICINE
0022-5347	The Journal of Urology	Elsevier	1	UROLOGY
0023-5954	Kybernetika	Self Owned - Non-Profit Society	0	ROBOTICS
0023-6438	LWT - Food Science and Technology	Elsevier	1	FOOD SCIENCE
0023-9356	Buffalo Law Review	Univ Buffalo State Univ New York	0	LAW
0023-9690	Learning and Motivation	Elsevier	1	PSYCHOLOGY
0024-1032	Leprosy Review	Lepra	0	NULL
0024-3205	Life Sciences	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0024-3795	Linear Algebra and Its Applications	Elsevier	1	MATHEMATICS
0024-3841	Lingua	Elsevier	1	LINGUISTICS
0024-4937	Lithos	Elsevier	1	NULL
0024-6301	Long Range Planning	Elsevier	1	MARKETING
0025-3227	Marine Geology	Elsevier	1	NULL
0025-326X	Marine Pollution Bulletin	Elsevier	1	ECOLOGY AND EVOLUTION
0025-5408	Materials Research Bulletin	Elsevier	1	PHYSICS AND CHEMISTRY
0025-5564	Mathematical Biosciences	Elsevier	1	MATHEMATICS
0025-6196	Mayo Clinic Proceedings	Elsevier	1	MEDICINE
0025-7125	Medical Clinics of North America	Elsevier	1	MEDICINE
0025-7273	Medical History	University College London	0	HISTORY AND PHILOSOPHY OF SCIENCE
0025-7753	Medicina Clinica	Elsevier	1	MEDICINE
0026-0495	Metabolism	Elsevier	1	MEDICINE
0026-1165	Journal of the Meteorological Society of Japan	Meteorological Soc Jpn	0	NULL
0026-265X	Microchemical Journal	Elsevier	1	NULL
0026-2692	Microelectronics Journal	Elsevier	1	CIRCUITS
0026-2714	Microelectronics Reliability	Elsevier	1	PHYSICS AND CHEMISTRY
0026-2862	Microvascular Research	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0027-5107	Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0027-9684	Journal of the National Medical Association	Elsevier	1	MEDICINE
0028-3770	Neurochirurgie	Elsevier	1	NEUROSCIENCE
0028-3843	Neurologia i Neurochirurgia Polska	Elsevier	1	NEUROSCIENCE
0028-3886	Neurology India	Self Owned - Non-Profit Society	0	NEUROSCIENCE
0028-3908	Neuropharmacology	Elsevier	1	NEUROSCIENCE
0028-3932	Neuropsychologia	Elsevier	1	NEUROSCIENCE
0029-3571	Northwestern University Law Review	Self Owned - Non-Profit Society	0	LAW
0029-5493	Nuclear Engineering and Design	Elsevier	1	ENERGY
0029-6465	Nursing Clinics of North America	Elsevier	1	MEDICINE
0029-6554	Nursing Outlook	Elsevier	1	MEDICINE
0029-8018	Ocean Engineering	Elsevier	1	NULL
0030-3992	Optics and Laser Technology	Elsevier	1	PHYSICS AND CHEMISTRY
0030-4018	Optics Communications	Elsevier	1	PHYSICS AND CHEMISTRY
0030-4026	Optik - International Journal for Light and Electron Optics	Elsevier	1	PHYSICS AND CHEMISTRY
0030-4387	Orbis	Elsevier	1	NULL
0030-5898	Orthopedic Clinics of North America	Elsevier	1	ORTHOPEDICS
0030-6126	Osaka Journal of Mathematics	Osaka University	0	MATHEMATICS
0030-6665	Otolaryngologic Clinics of North America	Elsevier	1	NULL
0031-0182	Palaeogeography, Palaeoclimatology, Palaeoecology	Elsevier	1	NULL
0031-3025	Pathology	Elsevier	1	ONCOLOGY
0031-3203	Pattern Recognition	Elsevier	1	NULL
0031-3939	Pediatria Polska	Elsevier	1	NULL
0031-3955	The Pediatric Clinics of North America	Elsevier	1	MEDICINE
0031-4056	Pedobiologia - Journal of Soil Ecology	Elsevier	1	PLANT BIOLOGY
0031-9201	Physics of the Earth and Planetary Interiors	Elsevier	1	NULL
0031-9384	Physiology & Behavior	Elsevier	1	NEUROSCIENCE
0031-9406	Physiotherapy	Elsevier	1	SPORTS MEDICINE
0031-9422	Phytochemistry	Elsevier	1	FOOD SCIENCE
0032-0633	Planetary and Space Science	Elsevier	1	NULL
0032-3861	Polymer	Elsevier	1	PHYSICS AND CHEMISTRY
0032-5910	Powder Technology	Elsevier	1	PHYSICS AND CHEMISTRY
0033-0620	Progress in Cardiovascular Diseases	Elsevier	1	MEDICINE
0033-2879	Psychologica Belgica	Belgian Psychol Soc	0	PSYCHOLOGY
0033-2984	Psychologie fran aise	Elsevier	1	PSYCHOLOGY
0033-3182	Psychosomatics	Elsevier	1	PSYCHIATRY
0033-3506	Public Health	Elsevier	1	MEDICINE
0033-5894	Quaternary Research	Elsevier	1	NULL
0033-8338	Radiologia	Elsevier	1	NULL
0033-8389	Radiologic Clinics of North America	Elsevier	1	RADIOLOGY
0034-4257	Remote Sensing of Environment	Elsevier	1	NULL
0034-4877	Reports on Mathematical Physics	Elsevier	1	MATHEMATICS
0034-5288	Research in Veterinary Science	Elsevier	1	VETERINARY
0034-6667	Review of Palaeobotany and Palynology	Elsevier	1	NULL
0034-7094	Brazilian Journal of Anesthesiology	Elsevier	0	MEDICINE
0034-7450	Revista Colombiana de Psiquiatr A	Elsevier	1	NULL
0034-7744	Revista De Biologia Tropical	Revista De Biologia Tropical	0	ECOLOGY AND EVOLUTION
0034-9356	Revista Espa ola de Anestesiolog a y Reanimaci n	Elsevier	1	NULL
0035-1598	Revue de micropal ontologie	Elsevier	1	NULL
0035-3787	Revue Neurologique	Elsevier	1	NEUROSCIENCE
0037-0738	Sedimentary Geology	Elsevier	1	NULL
0037-1963	Seminars in Hematology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0037-198X	Seminars in Roentgenology	Elsevier	1	RADIOLOGY
0037-5330	Silva Fennica	Finnish Society Forest Sciencefinnish Forest Research	0	ECOLOGY AND EVOLUTION
0037-5675	Singapore Medical Journal	Singapore Medical Assoc	0	MEDICINE
0037-6575	Singapore Medical Journal	Singapore Medical Association	0	NULL
0038-0121	Socio-Economic Planning Sciences	Elsevier	1	NULL
0038-0296	Sociologie du travail	Elsevier	1	SOCIOLOGY
0038-0717	Soil Biology and Biochemistry	Elsevier	1	PLANT BIOLOGY
0038-0806	Soils and Foundations	Elsevier	0	NULL
0038-0814	Soins	Elsevier	1	NULL
0038-092X	Solar Energy	Elsevier	1	ENERGY
0038-1098	Solid State Communications	Elsevier	1	PHYSICS AND CHEMISTRY
0038-1101	Solid State Electronics	Elsevier	1	PHYSICS AND CHEMISTRY
0038-3910	Southern California Law Review	Univ Southern Calif	0	LAW
0039-128X	Steroids	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0039-3681	Studies in History and Philosophy of Science	Elsevier	1	NULL
0039-6028	Surface Science	Elsevier	1	PHYSICS AND CHEMISTRY
0039-6060	Surgery	Elsevier	1	GASTROENTEROLOGY
0039-6109	Surgical Clinics of North America	Elsevier	1	GASTROENTEROLOGY
0039-6257	Survey of Ophthalmology	Elsevier	1	OPHTHALMOLOGY
0039-9140	Talanta	Elsevier	1	NULL
0040-1625	Technological Forecasting & Social Change	Elsevier	1	MARKETING
0040-1951	Tectonophysics	Elsevier	1	NULL
0040-4020	Tetrahedron	Elsevier	1	PHYSICS AND CHEMISTRY
0040-4039	Tetrahedron Letters	Elsevier	1	PHYSICS AND CHEMISTRY
0040-5809	Theoretical Population Biology	Elsevier	1	ECOLOGY AND EVOLUTION
0040-6031	Thermochimica Acta	Elsevier	1	PHYSICS AND CHEMISTRY
0040-6090	Thin Solid Films	Elsevier	1	PHYSICS AND CHEMISTRY
0040-8166	Tissue and Cell	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0041-008X	Toxicology and Applied Pharmacology	Elsevier	1	ENVIRONMENTAL HEALTH
0041-0101	Toxicon	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0041-1345	Transplantation Proceedings	Elsevier	1	NEPHROLOGY
0041-624X	Ultrasonics	Elsevier	1	RADIOLOGY
0041-8633	Bolet n Mexicano de Derecho Comparado	Elsevier	0	NULL
0042-207X	Vacuum	Elsevier	1	PHYSICS AND CHEMISTRY
0042-6822	Virology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0042-6989	Vision Research	Elsevier	1	PSYCHOLOGY
0042-9686	Bulletin of the World Health Organization	World Health Organization	0	MEDICINE
0043-0617	Washington Law Review	Univ Washington School of Law	0	LAW
0043-1354	Water Research	Elsevier	1	NULL
0043-1648	Wear	Elsevier	1	PHYSICS AND CHEMISTRY
0043-650X	Wisconsin Law Review	University of Wisconsin 	0	LAW
0044-5169	Der Zoologische Garten	Elsevier	1	NULL
0044-5231	Zoologischer Anzeiger - A Journal of Comparative Zoology	Elsevier	1	ECOLOGY AND EVOLUTION
0044-8486	Aquaculture	Elsevier	1	ECOLOGY AND EVOLUTION
0045-2068	Bioorganic Chemistry	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0045-6535	Chemosphere	Elsevier	1	NULL
0045-7825	Computer Methods in Applied Mechanics and Engineering	Elsevier	1	STRUCTURAL ENGINEERING
0045-7906	Computers and Electrical Engineering	Elsevier	1	NULL
0045-7930	Computers and Fluids	Elsevier	1	FLUID MECHANICS
0045-7949	Computers and Structures	Elsevier	1	STRUCTURAL ENGINEERING
0046-1121	Ecology Law Quarterly	Univ Calif Press	0	LAW
0046-8177	Human Pathology	Elsevier	1	ONCOLOGY
0047-2352	Journal of Criminal Justice	Elsevier	1	CRIMINOLOGY
0047-2484	Journal of Human Evolution	Elsevier	1	ANTHROPOLOGY
0047-259X	Journal of Multivariate Analysis	Elsevier	1	NULL
0047-2727	Journal of Public Economics	Elsevier	1	ECONOMICS
0047-6374	Mechanisms of Ageing and Development	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0048-3575	Pesticide Biochemistry and Physiology	Elsevier	1	ECOLOGY AND EVOLUTION
0048-7120	Rehabilitaci n	Elsevier	1	NULL
0048-7333	Research Policy	Elsevier	1	MARKETING
0048-7619	Revista Argentina de Radiolog A	Elsevier	0	NULL
0048-9697	Science of the Total Environment	Elsevier	1	NULL
0049-0172	Seminars in Arthritis and Rheumatism	Elsevier	1	RHEUMATOLOGY
0049-089X	Social Science Research	Elsevier	1	SOCIOLOGY
0049-3848	Thrombosis Research	Elsevier	1	MEDICINE
0065-1281	Acta Histochemica	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0065-1400	Acta Neurobiologiae Experimentalis	Self Owned - Non-Profit Society	0	NEUROSCIENCE
0065-3101	Advances in Pediatrics	Elsevier	1	NULL
0065-3411	Advances in Surgery	Elsevier	1	NULL
0067-3064	Baltica	Inst Geology & Geography	0	NULL
0075-9511	Limnologica	Elsevier	1	ECOLOGY AND EVOLUTION
0078-3234	Oceanologia	Polish Academy of Sciences	0	NULL
0079-6107	Progress in Biophysics and Molecular Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0079-6336	Progress in Histochemistry and Cytochemistry	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0079-6425	Progress in Materials Science	Elsevier	1	PHYSICS AND CHEMISTRY
0079-6565	Progress in Nuclear Magnetic Resonance Spectroscopy	Elsevier	1	PHYSICS AND CHEMISTRY
0079-6611	Progress in Oceanography	Elsevier	1	NULL
0079-6700	Progress in Polymer Science	Elsevier	1	PHYSICS AND CHEMISTRY
