Publisher	longname	eISSN	pISSN	AuthorPrice	Website	year_price	free
Hindawi	Advances in Artifiical Intellgence	1687-7489	NULL	600	http://www.hindawi.com/journals/aai/	2012	0
Hindawi	Advances in Astronomy	1687-7977	NULL	700	http://www.hindawi.com/journals/aa/	2012	0
Hindawi	Advances in Bioinformatics	1687-8035	NULL	1000	http://www.hindawi.com/journals/abi/apc/	2012	0
Hindawi	Advances in Civil Engineering	1687-8094	NULL	600	http://www.hindawi.com/journals/ace/	2012	0
Hindawi	Advances in Condensed Matter Physics	1687-8124	NULL	700	http://www.hindawi.com/journals/acmp/apc/	2012	0
Hindawi	Advances in Decision Sciences	2090-3367	NULL	600	http://www.hindawi.com/journals/ads/apc/	2012	0
Springer	Advances in Difference Equations	1687-1847	1687-1839	670	http://www.advancesindifferenceequations.com/	2012	0
Romanian Academy of Technical Sciences	Advances in Electrical and Computer Engineering	1844-7600	1582-7445	0	http://www.aece.ro/	2012	0
Hindawi	Advances in Fuzzy Systems	1687-711X	NULL	600	http://www.hindawi.com/journals/afs/biblio/	2012	0
Hindawi	Advances in Hematology	1687-9112	NULL	1000	http://www.hindawi.com/journals/ah/apc/	2012	0
Hindawi	Advances in High Energy Physics	1687-7365	1687-7357	600	http://www.hindawi.com/journals/ahep/	2012	0
Hindawi	Advances in Human-Computer Interaction 	1687-5907	NULL	600	http://www.hindawi.com/journals/ahci/	2012	0
Hindawi	Advances in Materials Science and Engineering 	1687-8442	NULL	800	http://www.hindawi.com/journals/amse/	2012	0
Hindawi	Advances in Mathematical Physics	1687-9139	NULL	700	http://www.hindawi.com/journals/amp/	2012	0
Hindawi	Advances in Mechanical Engineering	1687-8140	NULL	600	http://www.hindawi.com/journals/ame/	2012	0
Versita	Advances in Medical Sciences	1898-4002	1896-1126	0	http://versitaopen.com/ams/	2012	1
Hindawi	Advances in Meteorology	1687-9317	NULL	600	http://www.hindawi.com/journals/amet/	2012	0
Hindawi	Advances in Multimedia	1687-5699	NULL	800	http://www.hindawi.com/journals/am/	2012	0
Hindawi	Advances in Numerical Analysis	1687-9570	NULL	600	http://www.hindawi.com/journals/ana/	2012	0
Hindawi	Advances in Operations Research 	1687-9155	NULL	600	http://www.hindawi.com/journals/aor/	2012	0
Hindawi	Advances in Optical Technologies	1687-6407	NULL	600	http://www.hindawi.com/journals/aot/	2012	0
Hindawi	Advances in OptoElectronics	1687-5648	NULL	800	http://www.hindawi.com/journals/aoe/	2012	0
Hindawi	Advances in Orthopedics	2090-3472	NULL	800	http://www.hindawi.com/journals/aop/	2012	0
Hindawi	Advances in Pharmacological Sciences	1687-6342	NULL	1000	http://www.hindawi.com/journals/aps/	2012	0
Hindawi	Advances in Physical Chemistry	1687-7993	NULL	600	http://www.hindawi.com/journals/apc/	2012	0
American Physiological Society	Advances in Physiology Education	1522-1229	1043-4046	0	http://advan.physiology.org/	2012	0
Hindawi	Advances in Power Electronics 	2090-1828	NULL	0	http://www.hindawi.com/journals/ape/	2012	1
Hindawi	Advances in Preventive Medicine 	2090-3499	NULL	800	http://www.hindawi.com/journals/apm/	2012	0
Hindawi	Advances in Software Engineering	1687-8663	NULL	600	http://www.hindawi.com/journals/ase/	2012	0
Hindawi	Advances in Tribology	1687-5923	NULL	0	http://www.hindawi.com/journals/at/	2012	1
Hindawi	Advances in Urology	1687-6377	NULL	1000	http://www.hindawi.com/journals/au/	2012	0
Hindawi	Advances in Virology	1687-8647	NULL	600	http://www.hindawi.com/journals/av/	2012	0
German Institute of Global and Area Studies	Africa Spectrum	1868-6869	0002-0397	0	http://hup.sub.uni-hamburg.de/giga/afsp	2012	1
Academic Journals	African Journal of Agricultural Research	1991-637X	1991-637X	600	http://www.academicjournals.org/ajar/	2012	0
ACADEMIC JOURNALS	AFRICAN JOURNAL OF BIOTECHNOLOGY	1684-5315	1684-5315	650	http://www.academicjournals.org/AJB/	2012	0
ACADEMIC JOURNALS	African Journal of Business Management	1993-8233	NULL	550	http://www.academicjournals.org/AJBM/	2012	0
ACADEMIC JOURNALS	African Journal of Microbiology Research	1996-0808	1996-0808	550	http://www.academicjournals.org/ajmr/	2012	0
Academic Journals	African Journal of Pharmacy and Pharmacology	1996-0816	1996-0816	600	http://www.academicjournals.org/ajpp/	2012	0
Impact Journals 	Aging	1945-4589	NULL	1200	http://www.impactaging.com/index.html	2012	0
AGRICULTURAL RESEARCH CENTRE FINLAND	AGRICULTURAL AND FOOD SCIENCE	1795-1895	1459-6067	0	http://www.bls.gov/oco/ocos046.htm	2012	1
Colegio de Postgraduados	Agrociencia	1405-3195	1405-3195	0	http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-3195&nrm=iso&rep=&lng=en	2012	1
BioMed Central Ltd	AIDS Research and Therapy	1742-6405	NULL	1625	http://www.aidsrestherapy.com	2012	0
Hindawi	AIDS Research and Treatment	2090-1259	NULL	500	http://www.hindawi.com/journals/art/	2012	0
American Institute of Physics	AIP Advances	2158-3226	NULL	1350	http://aipadvances.aip.org/	2012	0
National Institute of Health	Alcohol Research & Health	1535-7414	1535-7414	0	http://www.niaaa.nih.gov/Publications/AlcoholResearch/Pages/default.aspx	2012	1
ALDRICH CHEMICAL CO INC	ALDRICHIMICA ACTA	0002Ãê5100	Feb-00	0	http://www.sigmaaldrich.com/chemistry/chemical-synthesis/learning-center/aldrichimica-acta.html	2012	1
MDPI	Algorithms  	1999-4893	NULL	320	http://www.mdpi.com/journal/algorithms	2012	0
BioMed Central Ltd	Algorithms for Molecular Biology	1748-7188	1748-7188	1625	http://www.almob.org	2012	0
BioMed Central Ltd	Allergy  Asthma & Clinical Immunology	1710-1492	NULL	1625	http://www.aacijournal.com	2012	0
BioMed Central Ltd	Alzheimers Research & Therapy	1758-9193	NULL	1845	http://alzres.com	2012	0
Springer	AMB Express	2191-0855	NULL	2010	http://www.amb-express.com	2012	0
American Association of Colleges of Pharmacy	AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION	1553-6467	Feb-59	0	http://www.ajpe.org/	2012	1
Instituto Superior de Psicologia Aplicada-CRL	Analise Psicologica	0870-8231	NULL	0	http://www.scielo.oces.mctes.pt/revistas/aps/iaboutj.htm	2012	1
Japan Society for Analytical Chemistry	Analytical Sciences	1348-2246	0910-6340	0	http://www.jsac.or.jp/cgi-bin/analsci/page/about.html	2012	1
Hindawi	Anatomy Research International	2090-2751	NULL	500	http://www.hindawi.com/journals/ari/	2012	0
National Survey of Geology and Mining Chile	Andean Geology	0718-7092	0718-7092	0	http://www.andeangeology.equipu.cl/index.php/revista1/index	2012	1
Hindawi	Anemia	2090-1275	NULL	500	http://www.hindawi.com/journals/ane/	2012	0
Hindawi	Anesthesiology Research and Practice	1687-6970	NULL	1000	http://www.hindawi.com/journals/arp/	2012	0
Edward H. Angle Society of Orthodontists	Angle Orthodontist	Mar-19	Mar-19	0	http://www.angle.org/	2012	1
Polish Academy of Sciences	ANIMAL SCIENCE PAPERS AND REPORTS	0137-1649	0860-4037	0	http://www.ighz.edu.pl/?p0=5&p1=34&o=3376	2012	1
Academia Scientiarum Fennica	Annales AcademiÂ_ Scientiarum FennicÂ_ Mathematica	1239-629X	1239-629X	0	http://www.acadsci.fi/mathematica/index.html	2012	1
European Geosciences Union	Annales Geophysicae	1432-0576	0992-7689	0	http://www.annales-geophysicae.net/	2012	0
ACAD MEDICINE SINGAPORE	ANNALS ACADEMY OF MEDICINE SINGAPORE	0304-4602	0304-4602	0	http://www.annals.edu.sg/	2012	1
Institute of Rural Health Lublin Poland	Annals of Agricultural and Environmental Medicine	1898-2263	1232-1966	160	http://www.aaem.pl/about_j.htm	2012	0
BioMed Central Ltd	Annals of Clinical Microbiology and Antimicrobials	1476-0711	NULL	1625	http://www.ann-clinmicrob.com	2012	0
American Academy of Family Physicians	Annals of Family Medicine	1544-1717	1544-1709	0	http://www.annfammed.org/	2012	1
BioMed Central Ltd	Annals of General Psychiatry	1744-859X	NULL	2190	http://www.annals-general-psychiatry.com	2012	0
Istituto Nazionale di Geofisica e Vulcanologia	Annals of Geophysics	2037-416X	1593-5213	0	http://www.annalsofgeophysics.eu/index.php/annals/index	2012	1
Medknow	Annals of Indian Academy of Neurology	0972-2327	0972-2327	0	http://www.annalsofian.org/aboutus.asp	2012	1
Springer	Annals of Intensive Care	2110-5820	NULL	1675	http://www.annalsofintensivecare.com	2012	0
King Faisal Specialist Hospital	Annals of Saudi Medicine	0256-4947	0256-4947	0	http://www.saudiannals.net/aboutus.asp	2012	1
BioMed Central Ltd	Annals of Surgical Innovation and Research	1750-1164	NULL	1900	http://www.asir-journal.com	2012	0
Annals of Thoracic and Cardiovascular Surgery	Annals of Thoracic and Cardiovascular Surgery	2186-1005	1341-1098	0	http://www.atcs.jp/	2012	0
Medknow	Annals of Thoracic Medicine	1817-1737	1817-1737	0	http://www.thoracicmedicine.org/aboutus.asp	2012	1
Oxford University Press	AoB Plants	2041-2851	NULL	0	http://aobpla.oxfordjournals.org/	2012	1
University of Belgrade	Applicable Analysis and Discrete Mathematics	1452-8630	1452-8630	0	http://pefmath.etf.rs/	2012	1
Hindawi	Applied and Environmental Soil Science	1687-7675	NULL	600	http://www.hindawi.com/journals/aess/	2012	0
Hindawi	Applied Computational Intelligence and Soft Computing	1687-9732	NULL	400	http://www.hindawi.com/journals/acisc/apc/	2012	0
Corvinus University of Budapest (Hungary)	Applied Ecology and Environmental Research	1785-0037	1589-1623	0	http://www.ecology.kee.hu/	2012	1
Springer	Applied Nanoscience	2190-5517	NULL	0	http://www.springer.com/13204	2012	1
Springer	Applied Petrochemical Research	2190-5533	NULL	0	http://www.springer.com/chemistry/journal/13203	2012	1
Springer	Applied Water Science	2190-5495	NULL	0	http://www.springer.com/13201	2012	1
King Fahd University of Petroleum & Minerals	Arabian Journal of Science and Engineering	2191-4281	1319-8025	0	http://ajse.kfupm.edu.sa/	2012	1
Hindawi	Archaea	1472-3654	NULL	0	http://www.hindawi.com/journals/arch/	2012	1
Serbian Biological Society	Archives of Biological Sciences	1821-4339	0354-4664	0	http://archonline.bio.bg.ac.rs/	2012	1
J-Stage	Archives of Histology and Cytology	1349-1717	0914-9465	0	http://www.ishc.net/	2012	0
Versita	Archives of Industrial Hygiene and Toxicology	1846-9558	0004-1254	0	http://versita.com/pjct/	2012	1
Polish Academy of Sciences	ARCHIVES OF MECHANICS	0373-2029	0373-2029	0	http://am.ippt.gov.pl/index.php/am/issue/view/154	2012	1
Termedia	Archives of Medical Science	1896-9151	1734-1922	253	http://www.termedia.pl/Journal/-19	2012	0
Polish Academy of Sciences	ARCHIVES OF METALLURGY AND MATERIALS	1733-3490	1733-3490	0	http://www.imim.pl/archives	2012	1
BioMed Central Ltd	Archives of Public Health	0778-7367	NULL	1625	http://www.archpublichealth.com	2012	0
ARKAT-USA	Arkivoc	1551-7012	1551-7004	0	http://www.arkat-usa.org/arkivoc-journal/about-arkivoc/	2012	1
Universidade Federal de Minas Gerais	Arquivo Brasileiro de Medicina Veterinâ€¡ria e Zootecnia 	1678-4162	0102-0935	0	http://www.scielo.br/revistas/abmvz/iaboutj.htm	2012	0
Hindawi	Arthritis 	2090-1992	NULL	500	http://www.hindawi.com/journals/arth/	2012	0
BioMed Central Ltd	Arthritis Research & Therapy	1478-6354	1478-6362	1845	http://arthritis-research.com/	2012	0
BioMed Central Ltd	Asia Pacific Family Medicine	1447-056X	NULL	1625	http://www.apfmj.com	2012	0
Asian Pacific Organization for Cancer Prevention	Asian Pacific Journal of Cancer Prevention	1513-7368	1513-7368	50	http://www.apocp.org/index.php	2012	0
Centro de Ciencias de la Atmâ€”sfera	Atmosfera	0187-6236	0187-6236	0	http://www.journals.unam.mx/index.php/atm/about	2012	1
MDPI	Atmosphere  	2073-4433	NULL	268	http://www.mdpi.com/journal/atmosphere	2012	0
European Geosciences Union	Atmospheric Chemistry and Physics	1680-7324	1680-7316	1000	http://www.atmospheric-chemistry-and-physics.net/index.html	2012	0
European Geosciences Union	Atmospheric Measurement Techniques	1867-8548	1867-1381	0	http://www.atmospheric-measurement-techniques.net/	2012	0
Australasian Society for Computers in Learning in Tertiary Education	Australasian Journal of Educational Technology	1449-5554	1449-3098	0	http://www.ascilite.org.au/ajet/ajet.html	2012	1
BioMed Central Ltd	Australia and New Zealand Health Policy	1743-8462	NULL	1625	http://www.anzhealthpolicy.com	2012	0
Southern Cross Publishing	Australian Journal of Crop Science	1835-2707	1835-2693	355	http://www.cropj.com/about.html	2012	0
Austrian Geological Society	Austrian Journal of Earth Sciences	0251-7493	0251-7493	0	http://www.univie.ac.at/ajes/	2012	1
Hindawi	Autism Research and Treatment	2090-1933	NULL	0	http://www.hindawi.com/journals/aurt/	2012	1
Hindawi	Autoimmune Diseases 	2090-0430	NULL	1000	http://www.hindawi.com/journals/ad/	2012	0
BioMed Central Ltd	Automated Experimentation	1759-4499	NULL	1625	http://www.aejournal.net	2012	0
Balkan Society of Geometers	Balkan Journal of Geometry and its Applications	1843-2875	NULL	0	http://www.mathem.pub.ro/bjga/	2012	1
Macedonian Academy of Sciences and Arts	Balkan Journal of Medical Genetics	1896-494X	1232-1087	0	http://www.bjmg.edu.mk/	2012	1
Tusi Mathematical Research Group	Banach Journal of Mathematical Analysis	1735-8787	1735-8787	0	http://www.emis.de/journals/BJMA/	2012	1
Bangladesh Pharmacological Society	Bangladesh Journal of Pharmacology	1991-0088	1991-007X	0	http://www.bdjpharmacol.com/index.htm	2012	1
Bangladesh Association of Plant Taxonomists	Bangladesh Journal of Plant Taxonomy	1028-2092	1028-2092	0	http://www.banglajol.info/index.php/BJPT/about	2012	1
Carnegie Mellon University	Bayesian Analysis	1931-6690	1931-6690	0	http://ba.stat.cmu.edu/	2012	1
BioMed Central Ltd	Behavioral and Brain Functions	1744-9081	1744-9081	1680	http://www.behavioralandbrainfunctions.com	2012	0
Beilstein-Institut	Beilstein Journal of Organic Chemistry	1860-5397	1860-5397	0	http://bjoc.beilstein-journals.org	2012	1
SCIELO	Biocell (Mendoza en lâ€™nea)	1667-5746	0327-9545	0	http://www.scielo.org.ar/revistas/biocell/iaboutj.htm#Basic_Information	2012	0
Croatian Society of Medical Biochemists	Biochemia Medica	1330-0962	1330-0962	0	http://biochemia-medica.com/introduction	2012	1
Hindawi	Biochemistry Research International	2090-2255	NULL	1000	http://www.hindawi.com/journals/bcri/apc/	2012	0
Society for Bacterial and Antifungal agents	Biocontrol Science	1342-4815	1342-4815	136	http://wwwsoc.nii.ac.jp/saaaj/english/magazine_e.html	2012	0
BioMed Central Ltd	BioData Mining	1756-0381	NULL	1625	http://www.biodatamining.org/	2012	0
European Geosciences Union	Biogeosciences	1726-4189	1726-4170	0	http://www.biogeosciences.net/	2012	0
Hindawi	Bioinorganic Chemistry and Applications	1687-479X	1565-3633	1200	http://www.hindawi.com/journals/bca/	2012	0
Springer	Biointerphases	1559-4106	1559-4106	800	http://www.springer.com/materials/biomaterials/journal/13758	2012	0
Pharmaceutical Society of Japan	Biological & Pharmaceutical Bulletin	1347-5215	0918-6158	0	http://bpb.pharm.or.jp/	2012	0
BioMed Central Ltd	Biological Procedures Online	1480-9222	1480-9222	1900	http://www.biologicalproceduresonline.com	2012	0
Chilean Biology Society	Biological Research	0717-6287	0716-9760	0	http://www.scielo.cl/revistas/bres/iinstruc.htm	2012	0
BioMed Central Ltd	Biology Direct	1745-6150	1745-6150	1900	http://www.biology-direct.com	2012	0
BioMed Central Ltd	Biology of Mood & Anxiety Disorders	2045-5380	NULL	2125	http://www.biolmoodanxietydisord.com	2012	0
BioMed Central Ltd	Biology of Sex Differences	2042-6410	NULL	2055	http://www.bsd-journal.com	2012	0
Institute of Sport in Warsaw Poland 	Biology of Sport	2083-1862	0860-021X	210	http://www.biolsport.com/	2012	0
Company of Biologists	Biology Open	2046-6390	NULL	1350	http://open.biologists.com/announcement.html	2012	0
BioMed Central Ltd	BioMagnetic Research and Technology	1477-044X	NULL	1625	http://www.biomagres.com	2012	0
BioMed Central Ltd	Biomedical Digital Libraries	1742-5581	NULL	1625	http://www.bio-diglib.com	2012	0
BioMed Central Ltd	BioMedical Engineering OnLine	1475-925X	1475-925X	1625	http://www.biomedical-engineering-online.com	2012	0
Optical Society of America	Biomedical Optics Express	2156-7085	NULL	871	http://www.opticsinfobase.org/boe/home.cfm	2012	0
IndMedica	Biomedical Research	0970-938X	0970-938X	0	http://www.indmedica.com/journals.php?journalid=12&action=info	2012	0
American Institute of Physics	Biomicrofluidics	1932-1058	1932-1058	1500	http://bmf.aip.org/	2012	0
BioMed Central Ltd	BioPsychoSocial Medicine	1751-0759	NULL	1625	http://www.bpsmedicine.com	2012	0
North Carolina State University	Bioresources	1930-2126	1930-2126	0	http://www.ncsu.edu/bioresources/	2012	1
Oxford University Press	Bioscience Horizons	1754-7431	NULL	0	http://biohorizons.oxfordjournals.org/	2012	1
Japanese Societies	Bioscience Trends	1881-7823	1881-7815	0	http://www.biosciencetrends.com/	2012	0
BioMed Central Ltd	Biotechnology for Biofuels	1754-6834	1754-6834	2055	http://www.biotechnologyforbiofuels.com	2012	0
Hindawi	Biotechnology Research International	2090-3146	NULL	1000	http://www.hindawi.com/journals/btri/	2012	0
Italian Society of Transfusion Medicine and Immunohaematology	Blood Transfusion	1723-2007	1723-2007	0	http://www.bloodtransfusion.it/linee.aspx	2012	1
Korean Society for Biochemistry and Molecular Biology	BMB Reports	1976-670X	1976-6696	0	http://www.jbmb.or.kr/index.html	2012	1
BioMed Central Ltd	BMC Anesthesiology	1471-2253	NULL	1845	http://www.biomedcentral.com/bmcanesthesiol/	2012	0
BioMed Central Ltd	BMC Biochemistry	1471-2091	NULL	1845	http://www.biomedcentral.com/bmcbiochem/	2012	0
BioMed Central Ltd	BMC Bioinformatics	1471-2105	1471-2105	1845	http://www.biomedcentral.com/bmcbioinformatics/	2012	0
BioMed Central Ltd	BMC Biology	1741-7007	1741-7007	2190	http://www.biomedcentral.com/bmcbiol/	2012	0
BioMed Central Ltd	BMC Biophysics	2046-1682	NULL	1845	http://www.biomedcentral.com/bmcbiophys	2012	0
BioMed Central Ltd	BMC Biotechnology	1472-6750	1472-6750	1845	http://www.biomedcentral.com/bmcbiotechnol/	2012	0
BioMed Central Ltd	BMC Blood Disorders	1471-2326	NULL	1845	http://www.biomedcentral.com/bmcblooddisord/	2012	0
BioMed Central Ltd	BMC Cancer	1471-2407	1471-2407	1845	http://www.biomedcentral.com/bmccancer/	2012	0
BioMed Central Ltd	BMC Cardiovascular Disorders	1471-2261	1471-2261	1845	http://www.biomedcentral.com/bmccardiovascdisord/	2012	0
BioMed Central Ltd	BMC Cell Biology	1471-2121	1471-2121	1845	http://www.biomedcentral.com/bmccellbiol/	2012	0
BioMed Central Ltd	BMC Chemical Biology	1472-6769	NULL	1845	http://www.biomedcentral.com/bmcchembiol/	2012	0
BioMed Central Ltd	BMC Clinical Pathology	1472-6890	NULL	1845	http://www.biomedcentral.com/bmcclinpathol/	2012	0
BioMed Central Ltd	BMC Clinical Pharmacology	1472-6904	NULL	1845	http://www.biomedcentral.com/bmcclinpharmacol/	2012	0
BioMed Central Ltd	BMC Complementary and Alternative Medicine	1472-6882	1472-6882	1845	http://www.biomedcentral.com/bmccomplementalternmed/	2012	0
BioMed Central Ltd	BMC Dermatology	1471-5945	NULL	1845	http://www.biomedcentral.com/bmcdermatol/	2012	0
BioMed Central Ltd	BMC Developmental Biology	1471-213X	1471-213X	1845	http://www.biomedcentral.com/bmcdevbiol/	2012	0
BioMed Central Ltd	BMC Ear  Nose and Throat Disorders	1472-6815	NULL	1845	http://www.biomedcentral.com/bmcearnosethroatdisord/	2012	0
BioMed Central Ltd	BMC Ecology	1472-6785	NULL	1845	http://www.biomedcentral.com/bmcecol/	2012	0
BioMed Central Ltd	BMC Emergency Medicine	1471-227X	NULL	1845	http://www.biomedcentral.com/bmcemergmed/	2012	0
BioMed Central Ltd	BMC Endocrine Disorders	1472-6823	NULL	1845	http://www.biomedcentral.com/bmcendocrdisord/	2012	0
BioMed Central Ltd	BMC Evolutionary Biology	1471-2148	1471-2148	1845	http://www.biomedcentral.com/bmcevolbiol/	2012	0
BioMed Central Ltd	BMC Family Practice	1471-2296	1471-2296	1845	http://www.biomedcentral.com/bmcfampract/	2012	0
BioMed Central Ltd	BMC Gastroenterology	1471-230X	1471-230X	1845	http://www.biomedcentral.com/bmcgastroenterol/	2012	0
BioMed Central Ltd	BMC Genetics	1471-2156	1471-2156	1845	http://www.biomedcentral.com/bmcgenet/	2012	0
BioMed Central Ltd	BMC Genomics	1471-2164	1471-2164	1845	http://www.biomedcentral.com/bmcgenomics/	2012	0
BioMed Central Ltd	BMC Geriatrics	1471-2318	NULL	1845	http://www.biomedcentral.com/bmcgeriatr/	2012	0
BioMed Central Ltd	BMC Health Services Research	1472-6963	1472-6963	1845	http://www.biomedcentral.com/bmchealthservres/	2012	0
BioMed Central Ltd	BMC Immunology	1471-2172	1471-2172	1845	http://www.biomedcentral.com/bmcimmunol/	2012	0
BioMed Central Ltd	BMC Infectious Diseases	1471-2334	1471-2334	1845	http://www.biomedcentral.com/bmcinfectdis/	2012	0
BioMed Central Ltd	BMC International Health and Human Rights	1472-698X	NULL	1845	http://www.biomedcentral.com/bmcinthealthhumrights/	2012	0
BioMed Central Ltd	BMC Medical Education	1472-6920	1472-6920	1845	http://www.biomedcentral.com/bmcmededuc/	2012	0
BioMed Central Ltd	BMC Medical Ethics	1472-6939	NULL	1845	http://www.biomedcentral.com/bmcmedethics/	2012	0
BioMed Central Ltd	BMC Medical Genetics	1471-2350	1471-2350	1845	http://www.biomedcentral.com/bmcmedgenet/	2012	0
BioMed Central Ltd	BMC Medical Genomics	1755-8794	1755-8794	1845	http://www.biomedcentral.com/bmcmedgenomics/	2012	0
BioMed Central Ltd	BMC Medical Imaging	1471-2342	NULL	1845	http://www.biomedcentral.com/bmcmedimaging/	2012	0
BioMed Central Ltd	BMC Medical Informatics and Decision Making	1472-6947	1472-6947	1845	http://www.biomedcentral.com/bmcmedinformdecismak/	2012	0
BioMed Central Ltd	BMC Medical Physics	1756-6649	NULL	1845	http://www.biomedcentral.com/bmcmedphys/	2012	0
BioMed Central Ltd	BMC Medical Research Methodology	1471-2288	1471-2288	1845	http://www.biomedcentral.com/bmcmedresmethodol/	2012	0
BioMed Central Ltd	BMC Medicine	1741-7015	1741-7015	2190	http://www.biomedcentral.com/bmcmed/	2012	0
BioMed Central Ltd	BMC Microbiology	1471-2180	1471-2180	1845	http://www.biomedcentral.com/bmcmicrobiol/	2012	0
BioMed Central Ltd	BMC Molecular Biology	1471-2199	1471-2199	1845	http://www.biomedcentral.com/bmcmolbiol/	2012	0
BioMed Central Ltd	BMC Musculoskeletal Disorders	1471-2474	1471-2474	1845	http://www.biomedcentral.com/bmcmusculoskeletdisord/	2012	0
BioMed Central Ltd	BMC Nephrology	1471-2369	1471-2369	1845	http://www.biomedcentral.com/bmcnephrol/	2012	0
BioMed Central Ltd	BMC Neurology	1471-2377	1471-2377	1845	http://www.biomedcentral.com/bmcneurol/	2012	0
BioMed Central Ltd	BMC Neuroscience	1471-2202	1471-2202	1845	http://www.biomedcentral.com/bmcneurosci/	2012	0
BioMed Central Ltd	BMC Nursing	1472-6955	NULL	1845	http://www.biomedcentral.com/bmcnurs/	2012	0
BioMed Central Ltd	BMC Ophthalmology	1471-2415	1471-2415	1845	http://www.biomedcentral.com/bmcophthalmol/	2012	0
BioMed Central Ltd	BMC Oral Health	1472-6831	NULL	1845	http://www.biomedcentral.com/bmcoralhealth/	2012	0
BioMed Central Ltd	BMC Palliative Care	1472-684X	NULL	1845	http://www.biomedcentral.com/bmcpalliatcare/	2012	0
BioMed Central Ltd	BMC Pediatrics	1471-2431	1471-2431	1845	http://www.biomedcentral.com/bmcpediatr/	2012	0
BioMed Central Ltd	BMC Pharmacology	1471-2210	NULL	1845	http://www.biomedcentral.com/bmcpharmacol/	2012	0
BioMed Central Ltd	BMC Physiology	1472-6793	NULL	1845	http://www.biomedcentral.com/bmcphysiol/	2012	0
