"id","price","date_stamp.x","journal_id","influence_id","article_influence","est_article_influence","date_stamp.y","ai_percentile","cost_effectiveness","ef_percentile","eigenfactor","efn","journal_name","pub_name","is_hybrid","category"
8711,2450,"2016-08-11","1868-7083",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clinical Epigenetics","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY"
8712,2145,"2016-08-11","2045-3329",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clinical Sarcoma Research","BioMed Central Ltd",0,NA
8713,2240,"2016-08-11","1878-5085",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPMA Journal","BioMed Central",0,NA
8714,2145,"2016-08-11","2040-7378",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Experimental & Translational Stroke Medicine","BioMed Central Ltd",0,NA
8715,2145,"2016-08-11","2046-7648",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Extreme Physiology & Medicine","BioMed Central",0,NA
8716,2450,"2016-08-11","2044-7248",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flavour","BioMed Central",0,NA
8717,2145,"2016-08-11","2045-8118",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fluids and Barriers of the CNS","BioMed Central Ltd",0,NA
8718,2145,"2016-08-11","1865-3499",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genes & Nutrition","BioMed Central",0,NA
8719,0,"2016-08-11","1880-7062",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genes and Environment","BioMed Central",0,NA
8720,2785,"2016-08-11","1756-994X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genome Medicine","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY"
8721,2145,"2016-08-11","1897-4287",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hereditary Cancer in Clinical Practice","Biomed Central",0,NA
8722,2450,"2016-08-11","1479-7364",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human Genomics","BioMed Central",0,NA
8723,2145,"2016-08-11","1742-4933",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Immunity & Ageing","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY"
8724,2145,"2016-08-11","1750-9378",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infectious Agents and Cancer","BioMed Central Ltd",0,"ONCOLOGY"
8725,0,"2016-08-11","1423-0127",NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF BIOMEDICAL SCIENCE","KARGER",0,NA
8726,2300,"2016-08-11","1476-9255",NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF INFLAMMATION-LONDON","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8727,2145,"2016-08-11","1477-5751",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of Negative Results in BioMedicine","BioMed Central Ltd",0,NA
8728,2450,"2016-08-11","1866-1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of Neurodevelopmental Disorders","BioMed Central",0,NA
8729,2240,"2016-08-11","1743-0003",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of NeuroEngineering and Rehabilitation","Biomed Central",0,"SPORTS MEDICINE"
8730,2450,"2016-08-11","1742-2094",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of Neuroinflammation","Biomed Central",0,"NEUROSCIENCE"
8731,2220,"2016-08-11","2055-0294",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of Pharmaceutical Health Care and Sciences","BioMed Central",0,NA
8732,1565,"2016-08-11","1880-6805",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of Physiological Anthropology","BioMed Central",0,NA
8733,2145,"2016-08-11","1479-5876",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of Translational Medicine","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8734,2145,"2016-08-11","1678-9199",NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES","Self Owned - Non-Profit Society",0,"INFECTIOUS DISEASES"
8735,2240,"2016-08-11","1475-2875",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALARIA JOURNAL","Biomed Central",0,"INFECTIOUS DISEASES"
8736,2450,"2016-08-11","2049-2618",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microbiome","BioMed Central",0,NA
8737,2145,"2016-08-11","1759-8753",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mobile DNA","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY"
8738,1980,"2016-08-11","1756-6606",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Molecular Brain","BioMed Central Ltd",0,"NEUROSCIENCE"
8739,2145,"2016-08-11","1476-4598",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Molecular Cancer","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8740,2145,"2016-08-11","1755-8166",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Molecular Cytogenetics","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY"
8741,2580,"2016-08-11","1750-1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Molecular Neurodegeneration","Biomed Central",0,"NEUROSCIENCE"
8742,2145,"2016-08-11","1749-8104",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neural Development","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8743,2145,"2016-08-11","1756-3305",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parasites & Vectors","Biomed Central",0,"INFECTIOUS DISEASES"
8744,2145,"2016-08-11","1743-8977",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTICLE AND FIBRE TOXICOLOGY","Biomed Central",0,"ENVIRONMENTAL HEALTH"
8745,2145,"2016-08-11","1748-717X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Radiation Oncology","BioMed Central",0,NA
8746,2450,"2016-08-11","1742-4690",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retrovirology","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8747,2145,"2016-08-11","1742-4682",NA,NA,NA,NA,NA,NA,NA,NA,NA,"THEORETICAL BIOLOGY AND MEDICAL MODELLING","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8748,2145,"2016-08-11","2047-9158",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Translational Neurodegeneration","BioMed Central",0,NA
8749,2145,"2016-08-11","1743-422X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Virology Journal","Biomed Central",0,"INFECTIOUS DISEASES"
8750,2450,"2016-08-11","1754-6834",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biotechnology for Biofuels","Biomed Central",0,NA
8751,2145,"2016-08-11","1472-6750",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC BIOTECHNOLOGY","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8752,2145,"2016-08-11","1477-3155",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of Nanobiotechnology","BioMed Central Ltd",0,"PHYSICS AND CHEMISTRY"
8753,2145,"2016-08-11","1475-2859",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microbial Cell Factories","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8754,2145,"2016-08-11","1472-6831",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Oral Health","BMC-Springer",0,"DENTISTRY"
8755,2145,"2016-08-11","1472-6920",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC MEDICAL EDUCATION","Biomed Central",0,"MEDICINE"
8756,2145,"2016-08-11","1475-925X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biomedical Engineering Online","Biomed Central",0,"SPORTS MEDICINE"
8757,2240,"2016-08-11","1754-1611",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of Biological Engineering","BioMed Central Ltd",0,NA
8758,2300,"2016-08-11","2047-2382",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Environmental Evidence","BioMed Central",0,NA
8759,2220,"2016-08-11","1476-069X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Environmental Health","Biomed Central",0,"ENVIRONMENTAL HEALTH"
8760,1175,"2016-08-11","1755-2672",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marine Biodiversity Records","BioMed Central",0,NA
8761,2450,"2016-08-11","2048-7010",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agriculture & Food Security","BioMed Central",0,NA
8762,2145,"2016-08-11","1748-7188",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Algorithms for Molecular Biology","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8763,2450,"2016-08-11","2050-3385",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animal Biotelemetry","BioMed Central",0,NA
8764,0,"2016-08-11","2053-7166",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Avian Research","BioMed Central",0,NA
8765,2145,"2016-08-11","1756-0381",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioData Mining","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY"
8766,2240,"2016-08-11","0717-6287",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biological Research","Chilean Biology Society",0,NA
8767,2145,"2016-08-11","1745-6150",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biology Direct","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8768,2145,"2016-08-11","1471-2091",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Biochemistry","BMC-Springer",0,"MOLECULAR AND CELL BIOLOGY"
8769,2145,"2016-08-11","1471-2105",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC BIOINFORMATICS","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8770,2785,"2016-08-11","1741-7007",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC BIOLOGY","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8771,2145,"2016-08-11","1471-2121",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC CELL BIOLOGY","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8772,2145,"2016-08-11","1471-213X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC DEVELOPMENTAL BIOLOGY","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8773,2145,"2016-08-11","1472-6785",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Ecology","BioMed Central Ltd",0,NA
8774,2145,"2016-08-11","1471-2148",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC EVOLUTIONARY BIOLOGY","Biomed Central",0,"ECOLOGY AND EVOLUTION"
8775,2145,"2016-08-11","1471-2156",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC GENETICS","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8776,2145,"2016-08-11","1471-2164",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC GENOMICS","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8777,2145,"2016-08-11","1471-2180",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC MICROBIOLOGY","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8778,2145,"2016-08-11","1471-2199",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC MOLECULAR BIOLOGY","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8779,2145,"2016-08-11","1471-2229",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC PLANT BIOLOGY","Biomed Central",0,"PLANT BIOLOGY"
8780,2145,"2016-08-11","1472-6807",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC STRUCTURAL BIOLOGY","Biomed Central",0,NA
8781,2145,"2016-08-11","1752-0509",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Systems Biology","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8782,2145,"2016-08-11","2056-3132",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Zoology","BioMed Central",0,NA
8783,2145,"2016-08-11","2052-6687",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canine Genetics and Epidemiology","BioMed Central",0,NA
8784,2145,"2016-08-11","2045-3701",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cell & Bioscience","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY"
8785,2450,"2016-08-11","1478-811X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cell Communication and Signaling","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY"
8786,2300,"2016-08-11","1747-1028",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CELL DIVISION","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8787,0,"2016-08-11","2045-9769",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cell Regeneration","BioMed Central",0,NA
8788,2615,"2016-08-11","1689-1392",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cellular & Molecular Biology Letters","BioMed Central",0,NA
8789,2145,"2016-08-11","2053-8871",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cerebellum & Ataxias","BioMed Central",0,NA
8790,2450,"2016-08-11","2046-2530",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cilia","BioMed Central",0,NA
8791,2145,"2016-08-11","2053-7565",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Climate Change Responses","BioMed Central",0,NA
8792,2145,"2016-08-11","1559-0275",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clinical Proteomics","BioMed Central Ltd",0,NA
8793,2450,"2016-08-11","1756-8935",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPIGENETICS & CHROMATIN","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8794,2450,"2016-08-11","2041-9139",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EvoDevo","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY"
8795,0,"2016-08-11","2398-0060",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ExRNA","BioMed Central",0,NA
8796,2145,"2016-08-11","2234-1757",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fisheries and Aquatic Sciences","BioMed Central",0,NA
8797,2365,"2016-08-11","1742-9994",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRONTIERS IN ZOOLOGY","Biomed Central",0,"ECOLOGY AND EVOLUTION"
8798,2145,"2016-08-11","2054-3085",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fungal Biology and Biotechnology","BioMed Central",0,NA
8799,1800,"2016-08-11","1297-9686",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENETICS SELECTION EVOLUTION","EDP Sciences",0,NA
8800,2975,"2016-08-11","1474-760X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genome Biology","BioMed Central",0,"MOLECULAR AND CELL BIOLOGY"
8801,2050,"2016-08-11","2047-217X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GigaScience","BioMed Central",0,NA
8802,0,"2016-08-11","1438-3888",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helgoland Marine Research","BioMed Central",0,NA
8803,2145,"2016-08-11","1601-5223",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HEREDITAS","Wiley Blackwell",0,NA
8804,0,"2016-08-11","2055-0391",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of Animal Science and Technology","BioMed Central",0,NA
8805,2365,"2016-08-11","2241-5793",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of Biological Research-Thessaloniki","BioMed Central",0,NA
8806,2145,"2016-08-11","1476-511X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lipids in Health and Disease","Biomed Central",0,"MEDICINE"
8807,2145,"2016-08-11","2051-3933",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Movement Ecology","BioMed Central",0,NA
8808,2240,"2016-08-11","1746-4811",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plant Methods","Biomed Central",0,"PLANT BIOLOGY"
8809,2145,"2016-08-11","1477-5956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Proteome Science","Self Owned - Non-Profit Society",0,"MOLECULAR AND CELL BIOLOGY"
8810,1760,"2016-08-11","0717-6317",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Revista Chilena de Historia Natural","BioMed Central",0,NA
8811,2450,"2016-08-11","2044-5040",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skeletal Muscle","BioMed Central Ltd",0,NA
8812,2145,"2016-08-11","1751-0473",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Source Code for Biology and Medicine","BioMed Central Ltd",0,NA
8813,2145,"2016-08-11","1944-3277",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standards in Genomic Sciences","BioMed Central",0,NA
8814,2175,"2016-08-11","1757-6512",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem Cell Research & Therapy","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY"
8815,0,"2016-08-11","2056-306X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zoological Letters","BioMed Central",0,NA
8816,1890,"2016-08-11","2055-7124",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biomaterials Research","BioMed Central",0,NA
8817,2145,"2016-08-11","2058-6345",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Big Data Analytics","BioMed Central",0,NA
8818,2145,"2016-08-11","2041-1480",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of Biomedical Semantics","BioMed Central Ltd",0,NA
8819,2365,"2016-08-11","1751-0147",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACTA VETERINARIA SCANDINAVICA","Biomed Central",0,NA
8820,2145,"2016-08-11","1940-0640",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Addiction Science & Clinical Practice","BioMed Central",0,NA
8821,2145,"2016-08-11","2059-0628",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advances in Simulation","BioMed Central",0,NA
8822,2300,"2016-08-11","1742-6405",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIDS Research and Therapy","BioMed Central Ltd",0,"INFECTIOUS DISEASES"
8823,2145,"2016-08-11","1710-1492",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allergy  Asthma & Clinical Immunology","BioMed Central Ltd",0,NA
8824,2450,"2016-08-11","1744-859X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annals of General Psychiatry","BioMed Central Ltd",0,"PSYCHIATRY"
8825,1975,"2016-08-11","2052-4374",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annals of Occupational and Environmental Medicine","BioMed Central",0,NA
8826,0,"2016-08-11","1980-5578",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Applied Cancer Research","BioMed Central",0,NA
8827,2145,"2016-08-11","2049-3258",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Archives of Public Health","BioMed Central",0,NA
8828,2740,"2016-08-11","1478-6362",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arthritis Research & Therapy","BioMed Central",0,"RHEUMATOLOGY"
8829,2145,"2016-08-11","1447-056X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia Pacific Family Medicine","BioMed Central Ltd",0,NA
8830,2145,"2016-08-11","2054-7064",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asthma Research and Practice","BioMed Central",0,NA
8831,2145,"2016-08-11","2051-4190",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Basic and Clinical Andrology","BioMed Central",0,NA
8832,2145,"2016-08-11","1751-0759",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioPsychoSocial Medicine","BioMed Central Ltd",0,NA
8833,2145,"2016-08-11","1471-2253",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Anesthesiology","BioMed Central Ltd",0,"MEDICINE"
8834,2145,"2016-08-11","1471-2261",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC CARDIOVASCULAR DISORDERS","Biomed Central",0,"MEDICINE"
8835,2145,"2016-08-11","1472-6890",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Clinical Pathology","BioMed Central Ltd",0,NA
8836,2145,"2016-08-11","1472-6882",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE","Biomed Central",0,"FOOD SCIENCE"
8837,2145,"2016-08-11","1471-5945",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Dermatology","BioMed Central Ltd",0,NA
8838,2145,"2016-08-11","1472-6815",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Ear  Nose and Throat Disorders","BioMed Central Ltd",0,NA
8839,2145,"2016-08-11","1471-227X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Emergency Medicine","BioMed Central Ltd",0,NA
8840,2145,"2016-08-11","1472-6823",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Endocrine Disorders","BMC-Springer",0,"MEDICINE"
8841,2145,"2016-08-11","1471-2296",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Family Practice","Biomed Central",0,"MEDICINE"
8842,2145,"2016-08-11","1471-230X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC GASTROENTEROLOGY","Biomed Central",0,"GASTROENTEROLOGY"
8843,2145,"2016-08-11","1471-2318",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Geriatrics","BMC-Springer",0,"MEDICINE"
8844,2145,"2016-08-11","1472-6963",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC HEALTH SERVICES RESEARCH","Biomed Central",0,"MEDICINE"
8845,2145,"2016-08-11","2052-1839",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Hematology","BioMed Central",0,NA
8846,2145,"2016-08-11","1471-2334",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC INFECTIOUS DISEASES","Biomed Central",0,"INFECTIOUS DISEASES"
8847,2145,"2016-08-11","1472-698X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC International Health and Human Rights","BMC-Springer",0,"MEDICINE"
8848,2145,"2016-08-11","1471-2342",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Medical Imaging","BioMed Central Ltd",0,"RADIOLOGY"
8849,2145,"2016-08-11","1472-6947",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Medical Informatics and Decision Making","Biomed Central",0,"MEDICINE"
8850,2145,"2016-08-11","1471-2288",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Medical Research Methodology","Biomed Central",0,"MEDICINE"
8851,2785,"2016-08-11","1741-7015",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Medicine","Biomed Central",0,"MEDICINE"
8852,2145,"2016-08-11","1471-2474",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC MUSCULOSKELETAL DISORDERS","Biomed Central",0,"ORTHOPEDICS"
8853,2145,"2016-08-11","1471-2369",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC NEPHROLOGY","Biomed Central",0,"NEPHROLOGY"
8854,2145,"2016-08-11","1471-2377",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Neurology","Biomed Central",0,"NEUROSCIENCE"
8855,2145,"2016-08-11","1472-6955",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Nursing","BioMed Central Ltd",0,NA
8856,2145,"2016-08-11","2055-0928",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Nutrition","BioMed Central",0,NA
8857,2145,"2016-08-11","2052-9538",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Obesity","BioMed Central",0,NA
8858,2145,"2016-08-11","1471-2415",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC OPHTHALMOLOGY","Biomed Central",0,"OPHTHALMOLOGY"
8859,2145,"2016-08-11","1472-684X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Palliative Care","BMC-Springer",0,"MEDICINE"
8860,2145,"2016-08-11","1471-2431",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC PEDIATRICS","Biomed Central",0,"MEDICINE"
