publisher_name,journal_name,date_stamp,is_hybrid,issn,apc
BioMed Central,Molecular Cancer,2016-08-11,False,1476-4598,2145
BioMed Central,Molecular Cytogenetics,2016-08-11,False,1755-8166,2145
BioMed Central,Molecular Neurodegeneration,2016-08-11,False,1750-1326,2580
BioMed Central,Neural Development,2016-08-11,False,1749-8104,2145
BioMed Central,Parasites & Vectors,2016-08-11,False,1756-3305,2145
BioMed Central,Particle and Fibre Toxicology,2016-08-11,False,1743-8977,2145
BioMed Central,Radiation Oncology,2016-08-11,False,1748-717X,2145
BioMed Central,Retrovirology,2016-08-11,False,1742-4690,2450
BioMed Central,Theoretical Biology and Medical Modelling,2016-08-11,False,1742-4682,2145
BioMed Central,Translational Neurodegeneration,2016-08-11,False,2047-9158,2145
BioMed Central,Virology Journal,2016-08-11,False,1743-422X,2145
BioMed Central,Biotechnology for Biofuels,2016-08-11,False,1754-6834,2450
BioMed Central,BMC Biotechnology,2016-08-11,False,1472-6750,2145
BioMed Central,Journal of Nanobiotechnology,2016-08-11,False,1477-3155,2145
BioMed Central,Microbial Cell Factories,2016-08-11,False,1475-2859,2145
BioMed Central,BMC Oral Health,2016-08-11,False,1472-6831,2145
BioMed Central,BMC Medical Education,2016-08-11,False,1472-6920,2145
BioMed Central,BioMedical Engineering OnLine,2016-08-11,False,1475-925X,2145
BioMed Central,Journal of Biological Engineering,2016-08-11,False,1754-1611,2240
BioMed Central,Environmental Evidence,2016-08-11,False,2047-2382,2300
BioMed Central,Environmental Health,2016-08-11,False,1476-069X,2220
BioMed Central,Marine Biodiversity Records,2016-08-11,False,1755-2672,1175
BioMed Central,Agriculture & Food Security,2016-08-11,False,2048-7010,2450
BioMed Central,Algorithms for Molecular Biology,2016-08-11,False,1748-7188,2145
BioMed Central,Animal Biotelemetry,2016-08-11,False,2050-3385,2450
BioMed Central,Avian Research,2016-08-11,False,2053-7166,0
BioMed Central,BioData Mining,2016-08-11,False,1756-0381,2145
BioMed Central,Biological Research,2016-08-11,False,0717-6287,2240
BioMed Central,Biology Direct,2016-08-11,False,1745-6150,2145
BioMed Central,BMC Biochemistry,2016-08-11,False,1471-2091,2145
BioMed Central,BMC Bioinformatics,2016-08-11,False,1471-2105,2145
BioMed Central,BMC Biology,2016-08-11,False,1741-7007,2785
BioMed Central,BMC Cell Biology,2016-08-11,False,1471-2121,2145
BioMed Central,BMC Developmental Biology,2016-08-11,False,1471-213X,2145
BioMed Central,BMC Ecology,2016-08-11,False,1472-6785,2145
BioMed Central,BMC Evolutionary Biology,2016-08-11,False,1471-2148,2145
BioMed Central,BMC Genetics,2016-08-11,False,1471-2156,2145
BioMed Central,BMC Genomics,2016-08-11,False,1471-2164,2145
BioMed Central,BMC Microbiology,2016-08-11,False,1471-2180,2145
BioMed Central,BMC Molecular Biology,2016-08-11,False,1471-2199,2145
BioMed Central,BMC Plant Biology,2016-08-11,False,1471-2229,2145
BioMed Central,BMC Structural Biology,2016-08-11,False,1472-6807,2145
BioMed Central,BMC Systems Biology,2016-08-11,False,1752-0509,2145
BioMed Central,BMC Zoology,2016-08-11,False,2056-3132,2145
BioMed Central,Canine Genetics and Epidemiology,2016-08-11,False,2052-6687,2145
BioMed Central,Cell & Bioscience,2016-08-11,False,2045-3701,2145
BioMed Central,Cell Communication and Signaling,2016-08-11,False,1478-811X,2450
BioMed Central,Cell Division,2016-08-11,False,1747-1028,2300
BioMed Central,Cell Regeneration,2016-08-11,False,2045-9769,0
BioMed Central,Cellular & Molecular Biology Letters,2016-08-11,False,1689-1392,2615
BioMed Central,Cerebellum & Ataxias,2016-08-11,False,2053-8871,2145
BioMed Central,Cilia,2016-08-11,False,2046-2530,2450
BioMed Central,Climate Change Responses,2016-08-11,False,2053-7565,2145
BioMed Central,Clinical Proteomics,2016-08-11,False,1559-0275,2145
BioMed Central,Epigenetics & Chromatin,2016-08-11,False,1756-8935,2450
BioMed Central,EvoDevo,2016-08-11,False,2041-9139,2450
BioMed Central,ExRNA,2016-08-11,False,2398-0060,0
BioMed Central,Fisheries and Aquatic Sciences,2016-08-11,False,2234-1757,2145
BioMed Central,Frontiers in Zoology,2016-08-11,False,1742-9994,2365
BioMed Central,Fungal Biology and Biotechnology,2016-08-11,False,2054-3085,2145
BioMed Central,Genetics Selection Evolution,2016-08-11,False,1297-9686,1800
BioMed Central,Genome Biology,2016-08-11,False,1474-760X,2975
BioMed Central,GigaScience,2016-08-11,False,2047-217X,2050
BioMed Central,Helgoland Marine Research,2016-08-11,False,1438-3888,0
BioMed Central,Hereditas,2016-08-11,False,1601-5223,2145
BioMed Central,Journal of Animal Science and Technology,2016-08-11,False,2055-0391,0
BioMed Central,Journal of Biological Research-Thessaloniki,2016-08-11,False,2241-5793,2365
BioMed Central,Lipids in Health and Disease,2016-08-11,False,1476-511X,2145
BioMed Central,Movement Ecology,2016-08-11,False,2051-3933,2145
BioMed Central,Plant Methods,2016-08-11,False,1746-4811,2240
BioMed Central,Proteome Science,2016-08-11,False,1477-5956,2145
BioMed Central,Revista Chilena de Historia Natural,2016-08-11,False,0717-6317,1760
BioMed Central,Skeletal Muscle,2016-08-11,False,2044-5040,2450
BioMed Central,Source Code for Biology and Medicine,2016-08-11,False,1751-0473,2145
BioMed Central,Standards in Genomic Sciences,2016-08-11,False,1944-3277,2145
BioMed Central,Stem Cell Research & Therapy,2016-08-11,False,1757-6512,2175
BioMed Central,Zoological Letters,2016-08-11,False,2056-306X,0
BioMed Central,Biomaterials Research,2016-08-11,False,2055-7124,1890
BioMed Central,Big Data Analytics,2016-08-11,False,2058-6345,2145
BioMed Central,Journal of Biomedical Semantics,2016-08-11,False,2041-1480,2145
BioMed Central,Acta Veterinaria Scandinavica,2016-08-11,False,1751-0147,2365
BioMed Central,Addiction Science & Clinical Practice,2016-08-11,False,1940-0640,2145
BioMed Central,Advances in Simulation,2016-08-11,False,2059-0628,2145
BioMed Central,AIDS Research and Therapy,2016-08-11,False,1742-6405,2300
BioMed Central,"Allergy, Asthma & Clinical Immunology",2016-08-11,False,1710-1492,2145
BioMed Central,Annals of General Psychiatry,2016-08-11,False,1744-859X,2450
BioMed Central,Annals of Occupational and Environmental Medicine,2016-08-11,False,2052-4374,1975
BioMed Central,Applied Cancer Research,2016-08-11,False,1980-5578,0
BioMed Central,Archives of Public Health,2016-08-11,False,2049-3258,2145
BioMed Central,Arthritis Research & Therapy,2016-08-11,False,1478-6362,2740
BioMed Central,Asia Pacific Family Medicine,2016-08-11,False,1447-056X,2145
BioMed Central,Asthma Research and Practice,2016-08-11,False,2054-7064,2145
BioMed Central,Basic and Clinical Andrology,2016-08-11,False,2051-4190,2145
BioMed Central,BioPsychoSocial Medicine,2016-08-11,False,1751-0759,2145
BioMed Central,BMC Anesthesiology,2016-08-11,False,1471-2253,2145
BioMed Central,BMC Cardiovascular Disorders,2016-08-11,False,1471-2261,2145
BioMed Central,BMC Clinical Pathology,2016-08-11,False,1472-6890,2145
BioMed Central,BMC Complementary and Alternative Medicine,2016-08-11,False,1472-6882,2145
BioMed Central,BMC Dermatology,2016-08-11,False,1471-5945,2145
BioMed Central,"BMC Ear, Nose and Throat Disorders",2016-08-11,False,1472-6815,2145
BioMed Central,BMC Emergency Medicine,2016-08-11,False,1471-227X,2145
BioMed Central,BMC Endocrine Disorders,2016-08-11,False,1472-6823,2145
BioMed Central,BMC Family Practice,2016-08-11,False,1471-2296,2145
BioMed Central,BMC Gastroenterology,2016-08-11,False,1471-230X,2145
BioMed Central,BMC Geriatrics,2016-08-11,False,1471-2318,2145
BioMed Central,BMC Health Services Research,2016-08-11,False,1472-6963,2145
BioMed Central,BMC Hematology,2016-08-11,False,2052-1839,2145
BioMed Central,BMC Infectious Diseases,2016-08-11,False,1471-2334,2145
BioMed Central,BMC International Health and Human Rights,2016-08-11,False,1472-698X,2145
BioMed Central,BMC Medical Imaging,2016-08-11,False,1471-2342,2145
BioMed Central,BMC Medical Informatics and Decision Making,2016-08-11,False,1472-6947,2145
BioMed Central,BMC Medical Research Methodology,2016-08-11,False,1471-2288,2145
BioMed Central,BMC Medicine,2016-08-11,False,1741-7015,2785
BioMed Central,BMC Musculoskeletal Disorders,2016-08-11,False,1471-2474,2145
BioMed Central,BMC Nephrology,2016-08-11,False,1471-2369,2145
BioMed Central,BMC Neurology,2016-08-11,False,1471-2377,2145
BioMed Central,BMC Nursing,2016-08-11,False,1472-6955,2145
BioMed Central,BMC Nutrition,2016-08-11,False,2055-0928,2145
BioMed Central,BMC Obesity,2016-08-11,False,2052-9538,2145
BioMed Central,BMC Ophthalmology,2016-08-11,False,1471-2415,2145
BioMed Central,BMC Palliative Care,2016-08-11,False,1472-684X,2145
BioMed Central,BMC Pediatrics,2016-08-11,False,1471-2431,2145
BioMed Central,BMC Pregnancy and Childbirth,2016-08-11,False,1471-2393,2145
BioMed Central,BMC Psychiatry,2016-08-11,False,1471-244X,2145
BioMed Central,BMC Public Health,2016-08-11,False,1471-2458,2145
BioMed Central,BMC Pulmonary Medicine,2016-08-11,False,1471-2466,2145
BioMed Central,"BMC Sports Science, Medicine and Rehabilitation",2016-08-11,False,2052-1847,2145
BioMed Central,BMC Surgery,2016-08-11,False,1471-2482,2145
BioMed Central,BMC Urology,2016-08-11,False,1471-2490,2145
BioMed Central,BMC Veterinary Research,2016-08-11,False,1746-6148,2145
BioMed Central,BMC Women's Health,2016-08-11,False,1472-6874,2145
BioMed Central,Borderline Personality Disorder and Emotion Dysregulation,2016-08-11,False,2051-6673,0
BioMed Central,Burns & Trauma,2016-08-11,False,2321-3876,0
BioMed Central,Cancer Imaging,2016-08-11,False,1470-7330,2145
BioMed Central,Cancers of the Head & Neck,2016-08-11,False,2059-7347,2145
BioMed Central,Cardio-Oncology,2016-08-11,False,2057-3804,2075
BioMed Central,Cardiovascular Diabetology,2016-08-11,False,1475-2840,2410
BioMed Central,Cardiovascular Ultrasound,2016-08-11,False,1476-7120,2145
BioMed Central,Child and Adolescent Psychiatry and Mental Health,2016-08-11,False,1753-2000,2145
BioMed Central,Chinese Medicine,2016-08-11,False,1749-8546,2145
BioMed Central,Chinese Neurosurgical Journal,2016-08-11,False,2057-4967,0
BioMed Central,Clinical and Molecular Allergy,2016-08-11,False,1476-7961,2145
BioMed Central,Clinical and Translational Allergy,2016-08-11,False,2045-7022,2300
BioMed Central,Clinical Diabetes and Endocrinology,2016-08-11,False,2055-8260,2145
BioMed Central,Clinical Hypertension,2016-08-11,False,2056-5909,0
BioMed Central,Conflict and Health,2016-08-11,False,1752-1505,2145
BioMed Central,Contraception and Reproductive Medicine,2016-08-11,False,2055-7426,2145
BioMed Central,COPD Research and Practice,2016-08-11,False,2054-9040,2145
BioMed Central,Cost Effectiveness and Resource Allocation,2016-08-11,False,1478-7547,2145
BioMed Central,Critical Care,2016-08-11,False,1364-8535,2740
BioMed Central,Diabetology & Metabolic Syndrome,2016-08-11,False,1758-5996,2220
BioMed Central,Diagnostic and Prognostic Research,2016-08-11,False,2397-7523,2145
BioMed Central,Diagnostic Pathology,2016-08-11,False,1746-1596,2145
BioMed Central,Disaster and Military Medicine,2016-08-11,False,2054-314X,2145
BioMed Central,Emerging Themes in Epidemiology,2016-08-11,False,1742-7622,2145
BioMed Central,European Journal of Medical Research,2016-08-11,False,2047-783X,2450
BioMed Central,European Review of Aging and Physical Activity,2016-08-11,False,1861-6909,2145
BioMed Central,Experimental Hematology & Oncology,2016-08-11,False,2162-3619,2580
BioMed Central,Eye and Vision,2016-08-11,False,2326-0254,0
BioMed Central,Fertility Research and Practice,2016-08-11,False,2054-7099,2145
BioMed Central,Fibrogenesis & Tissue Repair,2016-08-11,False,1755-1536,2450
BioMed Central,Global Health Research and Policy,2016-08-11,False,2397-0642,0
BioMed Central,Globalization and Health,2016-08-11,False,1744-8603,2145
BioMed Central,Gut Pathogens,2016-08-11,False,1757-4749,2410
BioMed Central,Gynecologic Oncology Research and Practice,2016-08-11,False,2053-6844,2145
BioMed Central,Harm Reduction Journal,2016-08-11,False,1477-7517,2450
BioMed Central,Head & Face Medicine,2016-08-11,False,1746-160X,2145
BioMed Central,Health and Quality of Life Outcomes,2016-08-11,False,1477-7525,2145
BioMed Central,Health Information Science and Systems,2016-08-11,False,2047-2501,2145
BioMed Central,Health Research Policy and Systems,2016-08-11,False,1478-4505,2300
BioMed Central,"Hepatology, Medicine and Policy",2016-08-11,False,2059-5166,2145
BioMed Central,Human Resources for Health,2016-08-11,False,1478-4491,2450
BioMed Central,Implementation Science,2016-08-11,False,1748-5908,2365
BioMed Central,Infectious Diseases of Poverty,2016-08-11,False,2049-9957,2145
BioMed Central,International Breastfeeding Journal,2016-08-11,False,1746-4358,1940
BioMed Central,International Journal for Equity in Health,2016-08-11,False,1475-9276,2220
BioMed Central,International Journal of Behavioral Nutrition and Physical Activity,2016-08-11,False,1479-5868,2580
BioMed Central,International Journal of Health Geographics,2016-08-11,False,1476-072X,2145
BioMed Central,International Journal of Mental Health Systems,2016-08-11,False,1752-4458,2145
BioMed Central,International Journal of Pediatric Endocrinology,2016-08-11,False,1687-9856,2145
BioMed Central,International Journal of Retina and Vitreous,2016-08-11,False,2056-9920,0
BioMed Central,Irish Veterinary Journal,2016-08-11,False,2046-0481,2145
BioMed Central,Israel Journal of Health Policy Research,2016-08-11,False,2045-4015,0
BioMed Central,Italian Journal of Pediatrics,2016-08-11,False,1824-7288,2145
BioMed Central,Journal for ImmunoTherapy of Cancer,2016-08-11,False,2051-1426,2410
BioMed Central,Journal of Cardiothoracic Surgery,2016-08-11,False,1749-8090,2175
BioMed Central,Journal of Cardiovascular Magnetic Resonance,2016-08-11,False,1532-429X,2145
BioMed Central,Journal of Clinical Movement Disorders,2016-08-11,False,2054-7072,2145
BioMed Central,Journal of Compassionate Health Care,2016-08-11,False,2053-2393,2145
BioMed Central,Journal of Congenital Cardiology,2016-08-11,False,2056-7251,2145
BioMed Central,Journal of Ethnobiology and Ethnomedicine,2016-08-11,False,1746-4269,1940
BioMed Central,Journal of Experimental & Clinical Cancer Research,2016-08-11,False,1756-9966,2220
BioMed Central,Journal of Foot and Ankle Research,2016-08-11,False,1757-1146,2145
BioMed Central,"Journal of Health, Population and Nutrition",2016-08-11,False,2072-1315,2145
BioMed Central,Journal of Hematology & Oncology,2016-08-11,False,1756-8722,2580
BioMed Central,Journal of Intensive Care,2016-08-11,False,2052-0492,0
BioMed Central,Journal of Medical Case Reports,2016-08-11,False,1752-1947,1120
BioMed Central,Journal of Molecular Psychiatry,2016-08-11,False,2049-9256,2145
BioMed Central,Journal of Occupational Medicine and Toxicology,2016-08-11,False,1745-6673,2260
BioMed Central,Journal of Orthopaedic Surgery and Research,2016-08-11,False,1749-799X,2450
BioMed Central,Journal of Otolaryngology - Head & Neck Surgery,2016-08-11,False,1916-0216,2145
BioMed Central,Journal of Ovarian Research,2016-08-11,False,1757-2215,2145
BioMed Central,Journal of the International Society of Sports Nutrition,2016-08-11,False,1550-2783,2145
BioMed Central,Journal of Therapeutic Ultrasound,2016-08-11,False,2050-5736,0
BioMed Central,Kidney Disease and Transplantation,2016-08-11,False,2058-511X,0
BioMed Central,"Maternal Health, Neonatology and Perinatology",2016-08-11,False,2054-958X,2145
BioMed Central,Military Medical Research,2016-08-11,False,2054-9369,0
BioMed Central,Molecular Autism,2016-08-11,False,2040-2392,2145
BioMed Central,Multidisciplinary Respiratory Medicine,2016-08-11,False,2049-6958,2145
BioMed Central,Multiple Sclerosis and Demyelinating Disorders,2016-08-11,False,2056-6115,2145
BioMed Central,Neuropsychiatric Electrophysiology,2016-08-11,False,2055-4788,2145
BioMed Central,Neurovascular Imaging,2016-08-11,False,2055-5792,2145
BioMed Central,Nutrire,2016-08-11,False,2316-7874,0
BioMed Central,Nutrition & Metabolism,2016-08-11,False,1743-7075,2240
BioMed Central,Nutrition Journal,2016-08-11,False,1475-2891,2300
BioMed Central,Orphanet Journal of Rare Diseases,2016-08-11,False,1750-1172,2365
BioMed Central,Patient Safety in Surgery,2016-08-11,False,1754-9493,2145
BioMed Central,Pediatric Rheumatology,2016-08-11,False,1546-0096,2145
BioMed Central,Perioperative Medicine,2016-08-11,False,2047-0525,2450
BioMed Central,Pilot and Feasibility Studies,2016-08-11,False,2055-5784,2450
BioMed Central,Pneumonia,2016-08-11,False,2200-6133,2145
BioMed Central,Population Health Metrics,2016-08-11,False,1478-7954,2145
BioMed Central,Porcine Health Management,2016-08-11,False,2055-5660,2145
BioMed Central,Public Health Reviews,2016-08-11,False,2107-6952,2145
BioMed Central,Renal Replacement Therapy,2016-08-11,False,2059-1381,0
BioMed Central,Reproductive Biology and Endocrinology,2016-08-11,False,1477-7827,2145
BioMed Central,Reproductive Health,2016-08-11,False,1742-4755,2145
BioMed Central,Research Involvement and Engagement,2016-08-11,False,2056-7529,2450
BioMed Central,Respiratory Research,2016-08-11,False,1465-993X,2525
BioMed Central,Safety in Health,2016-08-11,False,2056-5917,2145
BioMed Central,"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",2016-08-11,False,1757-7241,2325
BioMed Central,Scoliosis and Spinal Disorders,2016-08-11,False,2397-1789,2145
BioMed Central,Sleep Science and Practice,2016-08-11,False,2398-2683,2145
BioMed Central,"Substance Abuse Treatment, Prevention, and Policy",2016-08-11,False,1747-597X,1940
BioMed Central,Systematic Reviews,2016-08-11,False,2046-4053,2450
BioMed Central,Thrombosis Journal,2016-08-11,False,1477-9560,2145
BioMed Central,Thyroid Research,2016-08-11,False,1756-6614,2145
BioMed Central,Tobacco Induced Diseases,2016-08-11,False,1617-9625,2145
BioMed Central,Translational Medicine Communications,2016-08-11,False,2396-832X,2145
BioMed Central,Transplantation Research,2016-08-11,False,2047-1440,2450
BioMed Central,Trials,2016-08-11,False,1745-6215,2145
BioMed Central,"Tropical Diseases, Travel Medicine and Vaccines",2016-08-11,False,2055-0936,2145
BioMed Central,Tropical Medicine and Health,2016-08-11,False,1349-4147,1105
BioMed Central,Vascular Cell,2016-08-11,False,2045-824X,2145
BioMed Central,Veterinary Research,2016-08-11,False,1297-9716,1800
BioMed Central,Women's Midlife Health,2016-08-11,False,2054-2690,2145
BioMed Central,World Allergy Organization Journal,2016-08-11,False,1939-4551,2300
BioMed Central,World Journal of Emergency Surgery,2016-08-11,False,1749-7922,2145
BioMed Central,World Journal of Surgical Oncology,2016-08-11,False,1477-7819,2580
BioMed Central,Journal of Pharmaceutical Policy and Practice,2016-08-11,False,2052-3211,2240
BioMed Central,BMC Medical Ethics,2016-08-11,False,1472-6939,2145
BioMed Central,"Philosophy, Ethics, and Humanities in Medicine",2016-08-11,False,1747-5341,2145
BioMed Central,Research Integrity and Peer Review,2016-08-11,False,2058-8615,2145
BioMed Central,BMC Biophysics,2016-08-11,False,2046-1682,2145
BioMed Central,BMC Psychology,2016-08-11,False,2050-7283,2145
BioMed Central,Journal of Eating Disorders,2016-08-11,False,2050-2974,2145
publisher_name,journal_name,date_stamp,is_hybrid,issn,apc
Elsevier,Academic�Pediatrics,2016-08-11,True,1876-2859,3000
Elsevier,Academic�Radiology,2016-08-11,True,1076-6332,2500
Elsevier,Accident�Analysis�and�Prevention,2016-08-11,True,0001-4575,3300
Elsevier,Accounting�Forum,2016-08-11,True,0155-9982,1100
Elsevier,"Accounting,�Organizations�and�Society",2016-08-11,True,0361-3682,1800
Elsevier,"Achievements�in�the�Life�Sciences� fee not payable by author",2016-08-11,False,2078-1520,0
Elsevier,Acta�Anaesthesiologica�Taiwanica,2016-08-11,False,1875-4597,3000
Elsevier,Acta�Astronautica,2016-08-11,True,0094-5765,2500
Elsevier,Acta�Biomaterialia,2016-08-11,True,1742-7061,3000
Elsevier,Acta�Ecologica�Sinica,2016-08-11,True,1872-2032,3000
Elsevier,Acta�Haematologica�Polonica,2016-08-11,True,0001-5814,3000
Elsevier,Acta�Histochemica,2016-08-11,True,0065-1281,1800
Elsevier,Acta�Materialia,2016-08-11,True,1359-6454,3000
Elsevier,Acta�Mathematica�Scientia,2016-08-11,True,0252-9602,3000
Elsevier,Acta�Mechanica�Solida�Sinica,2016-08-11,True,0894-9166,3000
Elsevier,Acta�Oecologica,2016-08-11,True,1146-609X,2500
Elsevier,Acta�Otorrinolaringologica�(English�Edition),2016-08-11,True,2173-5735,3000
Elsevier,Acta�Otorrinolaringologica�Espanola,2016-08-11,True,0001-6519,3000
Elsevier,"Acta�Pharmaceutica�Sinica�B� fee not payable by author",2016-08-11,False,2211-3835,0
Elsevier,Acta�Psychologica,2016-08-11,True,0001-6918,1800
Elsevier,Actas�dermosifiliograficas,2016-08-11,True,0001-7310,3000
Elsevier,Actas�Dermo-Sifiliogr�ficas�(English�Edition),2016-08-11,True,1578-2190,3000
Elsevier,"Acta�Sociol�gica� fee not payable by author",2016-08-11,False,0186-6028,0
Elsevier,Actas�Urologicas�Espanolas,2016-08-11,True,0210-4806,3000
Elsevier,Actas�Urol�gicas�Espa�olas�(English�Edition),2016-08-11,True,2173-5786,3000
Elsevier,Acta�Tropica,2016-08-11,True,0001-706X,2150
Elsevier,"Acta�Urol�gica�Portuguesa� fee not payable by author",2016-08-11,False,2341-4022,0
Elsevier,Actualit�s�pharmaceutiques,2016-08-11,True,0515-3700,3000
Elsevier,Acupuncture�and�Related�Therapies,2016-08-11,True,2211-7660,1700
Elsevier,Addictive�Behaviors,2016-08-11,True,0306-4603,2150
Elsevier,Addictive�Behaviors�Reports,2016-08-11,False,2352-8532,1500
Elsevier,Additive�Manufacturing,2016-08-11,True,2214-8604,1750
Elsevier,Ad�Hoc�Networks,2016-08-11,True,1570-8705,2400
Elsevier,Advanced�Drug�Delivery�Reviews,2016-08-11,True,0169-409X,3500
Elsevier,Advanced�Engineering�Informatics,2016-08-11,True,1474-0346,2400
Elsevier,Advanced�Powder�Technology,2016-08-11,True,0921-8831,2800
Elsevier,"Advances�in�Accounting,�incorporating�Advances�in�International�Accounting",2016-08-11,True,0882-6110,1100
Elsevier,Advances�in�Anesthesia,2016-08-11,True,0737-6146,3000
Elsevier,Advances�in�Applied�Mathematics,2016-08-11,True,0196-8858,1500
Elsevier,Advances�in�Biological�Regulation,2016-08-11,True,2212-4926,2200
Elsevier,Advances�in�Chronic�Kidney�Disease,2016-08-11,True,1548-5595,2500
Elsevier,Advances�in�Climate�Change�Research,2016-08-11,False,1674-9278,1500
Elsevier,Advances�in�Colloid�and�Interface�Science,2016-08-11,True,0001-8686,3300
Elsevier,"Advances�in�Digestive�Medicine� fee not payable by author",2016-08-11,False,2351-9797,0
Elsevier,Advances�in�Engineering�Software,2016-08-11,True,0965-9978,2500
Elsevier,Advances�in�Integrative�Medicine,2016-08-11,True,2212-9588,3000
Elsevier,Advances�in�Life�Course�Research,2016-08-11,True,1040-2608,1100
Elsevier,Advances�in�Mathematics,2016-08-11,True,0001-8708,1500
Elsevier,Advances�in�Medical�Sciences,2016-08-11,True,1896-1126,3000
Elsevier,Advances�in�Pediatrics,2016-08-11,True,0065-3101,3000
Elsevier,Advances�in�Radiation�Oncology,2016-08-11,False,2452-1094,2000
Elsevier,Advances�in�Small�Animal�Medicine�and�Surgery,2016-08-11,True,1041-7826,3000
Elsevier,Advances�in�Space�Research,2016-08-11,True,0273-1177,2200
Elsevier,Advances�in�Surgery,2016-08-11,True,0065-3411,3000
Elsevier,Advances�in�Water�Resources,2016-08-11,True,0309-1708,3500
Elsevier,Aeolian�Research,2016-08-11,True,1875-9637,2500
Elsevier,Aerospace�Science�and�Technology,2016-08-11,True,1270-9638,2500
Elsevier,AEUE�-�International�Journal�of�Electronics�and�Communications,2016-08-11,True,1434-8411,1800
Elsevier,"African�Journal�of�Emergency�Medicine� fee not payable by author",2016-08-11,False,2211-419X,0
Elsevier,"African�Journal�of�Urology� fee not payable by author",2016-08-11,False,1110-5704,0
Elsevier,Ageing�Research�Reviews,2016-08-11,True,1568-1637,3000
Elsevier,Aggression�and�Violent�Behavior,2016-08-11,True,1359-1789,1800
Elsevier,Agricultural�and�Forest�Meteorology,2016-08-11,True,0168-1923,3700
Elsevier,Agricultural�Systems,2016-08-11,True,0308-521X,3600
Elsevier,Agricultural�Water�Management,2016-08-11,True,0378-3774,2500
