issn	journal_name	pub_name	is_hybrid	category,,
0017-8322	HASTINGS LAW JOURNAL	UNIV CALIF	0	LAW,,
0018-2079	Hiroshima Mathematical Journal	Self Owned - Non-Profit Society	0	MATHEMATICS,,
0019-1035	Icarus	Elsevier	1	NULL,,
0019-5308	Indian Journal of Labour Economics	Springer	1	NULL,,
0019-5413	INDIAN JOURNAL OF ORTHOPAEDICS	Medknow Publications	0	ORTHOPEDICS,,
0020-1383	Injury	Elsevier	1	ORTHOPEDICS,,
0021-9150	Atherosclerosis	Elsevier	1	MEDICINE,,
0022-1333	JOURNAL OF GENETICS	SPRINGER	0	MOLECULAR AND CELL BIOLOGY,,
0022-3859	Journal of Postgraduate Medicine	Self Owned - Non-Profit Society	0	MEDICINE,,
0023-5954	KYBERNETIKA	Self Owned - Non-Profit Society	0	ROBOTICS,,
0023-9356	BUFFALO LAW REVIEW	UNIV BUFFALO STATE UNIV NEW YORK	0	LAW,,
0024-1032	LEPROSY REVIEW	LEPRA	0	NULL,,
0024-3841	Lingua	Elsevier	1	LINGUISTICS,,
0024-4937	LITHOS	Elsevier	1	NULL,,
0025-7273	Medical History	University College London	0	HISTORY AND PHILOSOPHY OF SCIENCE,,
0026-0495	Metabolism	Elsevier	1	MEDICINE,,
0026-1165	JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN	METEOROLOGICAL SOC JPN	0	NULL,,
0028-3770	Neurochirurgie	Elsevier	1	NEUROSCIENCE,,
0028-3886	NEUROLOGY INDIA	Self Owned - Non-Profit Society	0	NEUROSCIENCE,,
0028-3908	Neuropharmacology	Elsevier	1	NEUROSCIENCE,,
0028-3932	Neuropsychologia	Elsevier	1	NEUROSCIENCE,,
0029-3571	NORTHWESTERN UNIVERSITY LAW REVIEW	Self Owned - Non-Profit Society	0	LAW,,
0030-4387	Orbis	Elsevier	1	NULL,,
0030-6126	OSAKA JOURNAL OF MATHEMATICS	Osaka University	0	MATHEMATICS,,
0031-3025	Pathology	Elsevier	1	ONCOLOGY,,
0031-9406	Physiotherapy	Elsevier	1	SPORTS MEDICINE,,
0031-9422	Phytochemistry	Elsevier	1	FOOD SCIENCE,,
0032-3861	Polymer	Elsevier	1	PHYSICS AND CHEMISTRY,,
0033-2879	PSYCHOLOGICA BELGICA	BELGIAN PSYCHOL SOC	0	PSYCHOLOGY,,
0033-3182	Psychosomatics	Elsevier	1	PSYCHIATRY,,
0033-8338	Radiologia	Elsevier	1	NULL,,
0034-7744	REVISTA DE BIOLOGIA TROPICAL	REVISTA DE BIOLOGIA TROPICAL	0	ECOLOGY AND EVOLUTION,,
0037-5330	SILVA FENNICA	FINNISH SOCIETY FOREST SCIENCEFINNISH FOREST RESEARCH	0	ECOLOGY AND EVOLUTION,,
0037-5675	SINGAPORE MEDICAL JOURNAL	SINGAPORE MEDICAL ASSOC	0	MEDICINE,,
0037-6575	SINGAPORE MEDICAL JOURNAL	Singapore Medical Association	0	NULL,,
0038-0814	Soins	Elsevier	1	NULL,,
0038-3910	SOUTHERN CALIFORNIA LAW REVIEW	UNIV SOUTHERN CALIF	0	LAW,,
0039-128X	Steroids	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0039-6060	Surgery	Elsevier	1	GASTROENTEROLOGY,,
0039-9140	Talanta	Elsevier	1	NULL,,
0040-1951	Tectonophysics	Elsevier	1	NULL,,
0040-4020	Tetrahedron	Elsevier	1	PHYSICS AND CHEMISTRY,,
0041-0101	Toxicon	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0041-624X	Ultrasonics	Elsevier	1	RADIOLOGY,,
0042-207X	Vacuum	Elsevier	1	PHYSICS AND CHEMISTRY,,
0042-6822	Virology	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0042-9686	BULLETIN OF THE WORLD HEALTH ORGANIZATION	WORLD HEALTH ORGANIZATION	0	MEDICINE,,
0043-0617	WASHINGTON LAW REVIEW	UNIV WASHINGTON SCHOOL OF LAW	0	LAW,,
0043-1648	Wear	Elsevier	1	PHYSICS AND CHEMISTRY,,
0043-650X	Wisconsin Law Review	University of Wisconsin 	0	LAW,,
0044-8486	Aquaculture	Elsevier	1	ECOLOGY AND EVOLUTION,,
0045-6535	Chemosphere	Elsevier	1	NULL,,
0046-1121	ECOLOGY LAW QUARTERLY	Univ Calif Press	0	LAW,,
0065-1400	ACTA NEUROBIOLOGIAE EXPERIMENTALIS	Self Owned - Non-Profit Society	0	NEUROSCIENCE,,
0067-3064	Baltica	INST GEOLOGY & GEOGRAPHY	0	NULL,,
0075-9511	Limnologica	Elsevier	1	ECOLOGY AND EVOLUTION,,
0078-3234	OCEANOLOGIA	Polish Academy of Sciences	0	NULL,,
0090-0656	FISHERY BULLETIN	Self Owned - Non-Profit Society	0	ECOLOGY AND EVOLUTION,,
0090-4295	Urology	Elsevier	1	UROLOGY,,
0091-6765	ENVIRONMENTAL HEALTH PERSPECTIVES	US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE	0	ENVIRONMENTAL HEALTH,,
0092-8674	Cell	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0093-691X	Theriogenology	Elsevier	1	VETERINARY,,
0100-8455	GENETICS AND MOLECULAR BIOLOGY	SOC BRASIL GENETICA	0	NULL,,
0103-9733	BRAZILIAN JOURNAL OF PHYSICS	SPRINGER	0	PHYSICS AND CHEMISTRY,,
0137-1649	ANIMAL SCIENCE PAPERS AND REPORTS	Polish Academy of Sciences	0	NULL,,
0137-5075	Archives of Acoustics	Versita	0	NULL,,
0141-9382	Displays	Elsevier	1	PHYSICS AND CHEMISTRY,,
0142-9612	Biomaterials	Elsevier	1	PHYSICS AND CHEMISTRY,,
0143-4004	Placenta	Elsevier	1	MEDICINE,,
0143-4179	Neuropeptides	Elsevier	1	NEUROSCIENCE,,
0146-4833	COMPUTER COMMUNICATION REVIEW	ASSOC COMPUTING MACHINERY	0	NULL,,
0147-619X	Plasmid	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0147-958X	Clinical and investigative medicine	Canadian Medical Association	0	MEDICINE,,
0160-2896	Intelligence	Elsevier	1	PSYCHOLOGY,,
0160-9327	Endeavour	Elsevier	1	HISTORY AND PHILOSOPHY OF SCIENCE,,
0161-6420	Ophthalmology	Elsevier	1	OPHTHALMOLOGY,,
0161-813X	Neurotoxicology	Elsevier	1	ENVIRONMENTAL HEALTH,,
0163-3864	JOURNAL OF NATURAL PRODUCTS	AMER CHEMICAL SOC	0	FOOD SCIENCE,,
0163-5808	SIGMOD RECORD	ASSOC COMPUTING MACHINERY	0	NULL,,
0166-4972	Technovation	Elsevier	1	MARKETING,,
0169-555X	Geomorphology	Elsevier	1	NULL,,
0171-2985	Immunobiology	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0185-1101	REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA	Self Owned - Non-Profit Society	0	ASTRONOMY AND ASTROPHYSICS,,
0185-1667	Investigacion Economica	UNIV NACIONAL AUTONOMA MEXICO	0	ECONOMICS,,
0185-3325	Salud Mental	Salud Mental 	0	PSYCHIATRY,,
0185-3880	CIENCIAS MARINAS	Self Owned - Non-Profit Society	0	ECOLOGY AND EVOLUTION,,
0187-6236	ATMOSFERA	CENTRO CIENCIAS ATMOSFERA UNAM	0	NULL,,
0190-0528	Rangelands	Elsevier	1	NULL,,
0195-6663	Appetite	Elsevier	1	MEDICINE,,
0196-9781	Peptides	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0211-5638	Fisioterapia	Elsevier	1	NULL,,
0212-6796	Magister	Elsevier	1	NULL,,
0213-6163	European Journal of Psychiatry	Universidad de Zaragoza	0	PSYCHIATRY,,
0217-2445	RAFFLES BULLETIN OF ZOOLOGY	Self Owned - Non-Profit Society	0	ECOLOGY AND EVOLUTION,,
0219-3094	Annals of Combinatorics	Springer	1	NULL,,
0219-3116	Knowledge and Information Systems	Springer	1	NULL,,
0222-4062	SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE	SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCES	0	NULL,,
0236-8722	International Agrophysics	Polish Academy of Sciences	0	PLANT BIOLOGY,,
0239-7528	Bulletin of the Polish Academy of Sciences-Technical Sciences	Polish Academy of Sciences	0	ROBOTICS,,
0242-3960	Interbloc	Elsevier	1	NULL,,
0250-4685	Turkish Journal of Biochemistry-Turk Biyokimya Dergisi	Self Owned - Non-Profit Society	0	MOLECULAR AND CELL BIOLOGY,,
0250-474X	INDIAN JOURNAL OF PHARMACEUTICAL SCIENCES	Medknow Publications	0	PHARMACOLOGY,,
0251-7493	Austrian Journal of Earth Sciences	Austrian Geological Society	0	NULL,,
0253-2143	Journal of Earth System Science	SPRINGER	0	NULL,,
0253-4134	JOURNAL OF CHEMICAL SCIENCES	SPRINGER	0	PHYSICS AND CHEMISTRY,,
0253-4142	PROCEEDINGS OF THE INDIAN ACADEMY OF SCIENCES-MATHEMATICAL SCIENCES	SPRINGER	0	MATHEMATICS,,
0253-7613	INDIAN JOURNAL OF PHARMACOLOGY	Medknow	0	NULL,,
0255-0857	INDIAN JOURNAL OF MEDICAL MICROBIOLOGY	Medknow Publications	0	INFECTIOUS DISEASES,,
0256-4947	ANNALS OF SAUDI MEDICINE	K FAISAL SPEC HOSP RES CENTRE	0	MEDICINE,,
0263-2241	Measurement	Elsevier	1	OPERATIONS RESEARCH,,
0264-2751	Cities	Elsevier	1	NULL,,
0264-410X	Vaccine	Elsevier	1	INFECTIOUS DISEASES,,
0266-6138	Midwifery	Elsevier	1	MEDICINE,,
0277-5387	Polyhedron	Elsevier	1	PHYSICS AND CHEMISTRY,,
0300-483X	Toxicology	Elsevier	1	ENVIRONMENTAL HEALTH,,
0300-9084	Biochimie	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0300-9572	Resuscitation	Elsevier	1	MEDICINE,,
0301-4681	Differentiation	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0301-4738	INDIAN JOURNAL OF OPHTHALMOLOGY	Medknow Publications	0	OPHTHALMOLOGY,,
0303-2647	BioSystems	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0304-386X	Hydrometallurgy	Elsevier	1	NULL,,
0304-3991	Ultramicroscopy	Elsevier	1	PHYSICS AND CHEMISTRY,,
0304-422X	Poetics	Elsevier	1	SOCIOLOGY,,
0304-4602	ANNALS ACADEMY OF MEDICINE SINGAPORE	ACAD MEDICINE SINGAPORE	0	MEDICINE,,
0305-0483	Omega	Elsevier	1	OPERATIONS RESEARCH,,
0305-4179	Burns	Elsevier	1	PLASTIC SURGERY,,
0306-4522	Neuroscience	Elsevier	1	NEUROSCIENCE,,
0306-4530	Psychoneuroendocrinology	Elsevier	1	NEUROSCIENCE,,
0341-8162	Catena	Elsevier	1	NULL,,
0346-251X	System	Elsevier	1	LINGUISTICS,,
0350-820X	SCIENCE OF SINTERING	International Institute for the Science of Sintering	0	PHYSICS AND CHEMISTRY,,
0352-9568	CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY	Self Owned - Non-Profit Society	0	NULL,,
0354-5180	FILOMAT	KoBSON	0	MATHEMATICS,,
0354-9836	Thermal Science	Self Owned - Non-Profit Society	0	ENERGY,,
0360-5442	Energy	Elsevier	1	ENERGY,,
0360-7275	CHEMICAL ENGINEERING PROGRESS	AMER INST CHEMICAL ENGINEERS	0	NULL,,
0364-5916	Calphad	Elsevier	1	PHYSICS AND CHEMISTRY,,
0365-0588	ACTA BOTANICA CROATICA	University of Zagreb	0	ECOLOGY AND EVOLUTION,,
0367-2530	Flora	Elsevier	1	ECOLOGY AND EVOLUTION,,
0367-326X	Fitoterapia	Elsevier	1	FOOD SCIENCE,,
0367-5211	BULLETIN OF THE GEOLOGICAL SOCIETY OF FINLAND	Geological Society of Finland	0	NULL,,
0368-1238	WEST INDIAN MEDICAL JOURNAL	UNIV WEST INDIES FACULTY MEDICAL SCIENCES	0	NULL,,
0373-2029	ARCHIVES OF MECHANICS	Polish Academy of Sciences	0	STRUCTURAL ENGINEERING,,
0375-6505	Geothermics	Elsevier	1	ENERGY,,
0375-8427	VETERINARNI MEDICINA	INST AGRICULTURAL FOOD INFORMATION	0	VETERINARY,,
0376-4710	INDIAN JOURNAL OF CHEMISTRY SECTION A-INORGANIC BIO-INORGANIC PHYSICAL THEORETIC	NATL INST SCIENCE COMMUNICATION	0	PHYSICS AND CHEMISTRY,,
0377-2063	IETE Journal of Research	Medknow	0	NULL,,
0377-4929	INDIAN JOURNAL OF PATHOLOGY AND MICROBIOLOGY	Medknow Publications	0	ONCOLOGY,,
0378-1119	Gene	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0378-5122	Maturitas	Elsevier	1	MEDICINE,,
0378-6323	Indian Journal of Dermatology Venereology & Leprology	Self Owned - Non-Profit Society	0	DERMATOLOGY,,
0386-2194	PROCEEDINGS OF THE JAPAN ACADEMY SERIES A-MATHEMATICAL SCIENCES	Self Owned - Non-Profit Society	0	MATHEMATICS,,
0386-300X	ACTA MEDICA OKAYAMA	OKAYAMA UNIV MED SCHOOL	0	MOLECULAR AND CELL BIOLOGY,,
0556-3321	PAKISTAN JOURNAL OF BOTANY	PAKISTAN BOTANICAL SOC	0	PLANT BIOLOGY,,
0717-3458	ELECTRONIC JOURNAL OF BIOTECHNOLOGY	UNIV CATOLICA DE VALPARAISO	0	NULL,,
0717-6287	Biological Research	Chilean Biology Society	0	NULL,,
0717-6317	Revista Chilena de Historia Natural	BioMed Central	0	NULL,,
0717-7917	Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas	SOC FITOQUIMICA LATINOAMERICANA	0	FOOD SCIENCE,,
0717-9502	INTERNATIONAL JOURNAL OF MORPHOLOGY	SciELO	0	NULL,,
0717-9707	JOURNAL OF THE CHILEAN CHEMICAL SOCIETY	SOCIEDAD CHILENA DE QUIMICA	0	NULL,,
0718-090X	Revista de Ciencia Politica	Self Owned - Non-Profit Society	0	NULL,,
0718-1957	REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA	Self Owned - Non-Profit Society	0	NULL,,
0718-2244	Magallania	Self Owned - Non-Profit Society	0	NULL,,
0718-7092	Andean Geology	SciELO	0	NULL,,
0730-2347	TEXAS HEART INSTITUTE JOURNAL	TEXAS HEART INST	0	MEDICINE,,
0741-8329	Alcohol	Elsevier	1	NEUROSCIENCE,,
0742-3225	FAMILY MEDICINE	SOC TEACHERS FAMILY MEDICINE	0	MEDICINE,,
0747-9964	Journal of Engineering Technology	American Society for Engineering Education	0	PHYSICS AND CHEMISTRY,,
0748-7711	JOURNAL OF REHABILITATION RESEARCH AND DEVELOPMENT	Self Owned - Non-Profit Society	0	SPORTS MEDICINE,,
0778-7367	Archives of Public Health	BioMed Central Ltd	0	NULL,,
0824-2577	Informal Logic 	University of Windsor	0	NULL,,
0860-8229	Metrology and Measurement Systems	Versita	0	PHYSICS AND CHEMISTRY,,
0870-8231	Analise Psicologica	Instituto Superior de Psicologia Aplicada-CRL	0	NULL,,
0888-7543	Genomics	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0896-5803	Journal of Real Estate Research	Self Owned - Non-Profit Society	0	NULL,,
0896-6273	Neuron	Elsevier	1	NEUROSCIENCE,,
0898-9591	Chinese Journal of Geophysics	Chinese Geophysical Society	0	NULL,,
0899-9007	Nutrition	Elsevier	1	MEDICINE,,
0915-5287	Journal of Physical Therapy Science	Self Owned - Non-Profit Society	0	SPORTS MEDICINE,,
0918-7960	ANTHROPOLOGICAL SCIENCE	ANTHROPOLOGICAL SOC NIPPON	0	ANTHROPOLOGY,,
0925-2312	Neurocomputing	Elsevier	1	NULL,,
0928-4680	Pathophysiology	Elsevier	1	NULL,,
0942-0940	Acta Neurochirurgica	Springer	1	NULL,,
0944-2006	Zoology	Elsevier	1	ECOLOGY AND EVOLUTION,,
0944-7113	Phytomedicine	Elsevier	1	FOOD SCIENCE,,
0945-3245	Numerische Mathematik	Springer	1	NULL,,
0948-5023	Journal of Molecular Modeling	Springer	1	NULL,,
0948-6968	JOURNAL OF UNIVERSAL COMPUTER SCIENCE	SPRINGER	0	NULL,,
0949-877X	The VLDB Journal	Springer	1	NULL,,
0957-4158	Mechatronics	Elsevier	1	ROBOTICS,,
0966-9795	Intermetallics	Elsevier	1	PHYSICS AND CHEMISTRY,,
0968-4328	Micron	Elsevier	1	PHYSICS AND CHEMISTRY,,
0969-2126	Structure	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
0970-9371	JOURNAL OF CYTOLOGY	Medknow Publications	0	ONCOLOGY,,
0970-938X	Biomedical Research	IndMedica	0	MEDICINE,,
0971-5916	INDIAN JOURNAL OF MEDICAL RESEARCH	INDIAN COUNCIL MEDICAL RES	0	MEDICINE,,
0971-8966	Himalayan Geology	Wadia Institute of Himalayan Geology	0	NULL,,
0972-2327	ANNALS OF INDIAN ACADEMY OF NEUROLOGY	Medknow Publications	0	NEUROSCIENCE,,
0972-3757	INTERNATIONAL JOURNAL OF HUMAN GENETICS	KAMLA-RAJ ENTERPRISES	0	MOLECULAR AND CELL BIOLOGY,,
0972-5849	INDIAN JOURNAL OF BIOTECHNOLOGY	National Institute of Science Communication and Information Resources	0	PLANT BIOLOGY,,
0972-9062	JOURNAL OF VECTOR BORNE DISEASES	MALARIA RESEARCH CENTRE	0	INFECTIOUS DISEASES,,
0973-1482	JOURNAL OF CANCER RESEARCH AND THERAPEUTICS	Medknow Publications	0	ONCOLOGY,,
0973-7111	PRAMANA-JOURNAL OF PHYSICS	SPRINGER	0	NULL,,
0973-7138	JOURNAL OF BIOSCIENCES	SPRINGER	0	NULL,,
0973-7669	BULLETIN OF MATERIALS SCIENCE	SPRINGER	0	NULL,,
0973-7707	Indian Journal of Otolaryngology and Head & Neck Surgery	Springer	1	NULL,,
0973-7758	JOURNAL OF ASTROPHYSICS AND ASTRONOMY	SPRINGER	0	NULL,,
0974-0252	Indian Journal of Plant Physiology	Springer	1	NULL,,
0974-276X	Journal of Proteomics & Bioinformatics	OMICS PUBL GRP	0	NULL,,
0974-5343	International Journal of Medical Sciences	IVYSPRING INT PUBL	0	NULL,,
0974-5971	IETE TECHNICAL REVIEW	INST ELECTRONICS TELECOMMUNICATION ENGINEERS	0	NULL,,
0974-7559	INDIAN PEDIATRICS	SPRINGER	0	NULL,,
0975-0959	INDIAN JOURNAL OF BIOCHEMISTRY & BIOPHYSICS	NATL INST SCIENCE COMMUNICATION	0	NULL,,
0975-0983	INDIAN JOURNAL OF CHEMISTRY SECTION B-ORGANIC CHEMISTRY INCLUDING MEDICINAL CHEM	NATL INST SCIENCE COMMUNICATION	0	NULL,,
0975-0991	INDIAN JOURNAL OF CHEMICAL TECHNOLOGY	NATL INST SCIENCE COMMUNICATION	0	NULL,,
0975-1009	INDIAN JOURNAL OF EXPERIMENTAL BIOLOGY	NATL INST SCIENCE COMMUNICATION	0	NULL,,
0975-1017	INDIAN JOURNAL OF ENGINEERING AND MATERIALS SCIENCES	NATL INST SCIENCE COMMUNICATION	0	NULL,,
0975-1033	INDIAN JOURNAL OF MARINE SCIENCES	NATL INST SCIENCE COMMUNICATION	0	NULL,,
0975-1041	INDIAN JOURNAL OF PURE & APPLIED PHYSICS	NATL INST SCIENCE COMMUNICATION	0	NULL,,
0975-1076	JOURNAL OF INTELLECTUAL PROPERTY RIGHTS	Self Owned - Non-Profit Society	0	NULL,,
0976-464X	DEFENCE SCIENCE JOURNAL	DEFENCE SCIENTIFIC INFORMATION DOCUMENTATION CENTRE	0	NULL,,
0990-1310	Oxymag	Elsevier	1	NULL,,
1000-324X	JOURNAL OF INORGANIC MATERIALS	SCIENCE CHINA PRESS	0	PHYSICS AND CHEMISTRY,,
1001-9014	JOURNAL OF INFRARED AND MILLIMETER WAVES	SCIENCE CHINA PRESS	0	PHYSICS AND CHEMISTRY,,
1002-0160	Pedosphere	Elsevier	1	PLANT BIOLOGY,,
1020-4989	REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH	Pan-American Health Organization	0	MEDICINE,,
1021-2019	Journal of the South African Institution of Civil Engineering	Self Owned - Non-Profit Society	0	STRUCTURAL ENGINEERING,,
1021-5506	ZOOLOGICAL STUDIES	Academia Sinica	0	ECOLOGY AND EVOLUTION,,
1026-2881	PACHYDERM	Self Owned - Non-Profit Society	0	ECOLOGY AND EVOLUTION,,
1027-5193	European Integration Online Papers-EIOP	Self Owned - Non-Profit Society	0	POLITICAL SCIENCE,,
1028-2092	Bangladesh Journal of Plant Taxonomy	Self Owned - Non-Profit Society	0	ECOLOGY AND EVOLUTION,,
1029-0516	Diagnostic and Therapeutic Endoscopy	Hindawi	0	NULL,,
1029-242X	Journal of Inequalities and Applications	Springer	0	NULL,,
1042-8275	OCEANOGRAPHY	Self Owned - Non-Profit Society	0	NULL,,
1043-4666	Cytokine	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
1044-677X	JOURNAL OF RESEARCH OF THE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY	US GOVERNMENT PRINTING OFFICE	0	NULL,,
1045-1056	Biologicals	Elsevier	1	INFECTIOUS DISEASES,,
1046-2023	Methods	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
1053-8119	NeuroImage	Elsevier	1	NEUROSCIENCE,,
1062-6050	JOURNAL OF ATHLETIC TRAINING	Self Owned - Non-Profit Society	0	SPORTS MEDICINE,,
1068-9613	ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS	KENT STATE UNIVERSITY	0	MATHEMATICS,,
1074-7613	Immunity	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
1075-9964	Anaerobe	Elsevier	1	INFECTIOUS DISEASES,,
1077-8926	ELECTRONIC JOURNAL OF COMBINATORICS	Self Owned - Non-Profit Society	0	COMPUTER SCIENCE,,
1078-8174	Radiography	Elsevier	1	NULL,,
1079-6762	Electronic Research Announcements in Mathematical Sciences	AMER MATHEMATICAL SOC	0	NULL,,
1080-6040	EMERGING INFECTIOUS DISEASES	CENTER DISEASE CONTROL	0	INFECTIOUS DISEASES,,
1081-3810	Electronic Journal of Linear Algebra	Self Owned - Non-Profit Society	0	MATHEMATICS,,
1083-589X	ELECTRONIC COMMUNICATIONS IN PROBABILITY	Self Owned - Non-Profit Society	0	MATHEMATICS,,
1083-6489	ELECTRONIC JOURNAL OF PROBABILITY	Self Owned - Non-Profit Society	0	MATHEMATICS,,
1088-9485	BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY	AMER MATHEMATICAL SOC	0	NULL,,
1090-0535	MOLECULAR VISION	MOLECULAR VISION	0	OPHTHALMOLOGY,,
1090-6924	JOURNAL OF CAVE AND KARST STUDIES	Self Owned - Non-Profit Society	0	NULL,,
1092-0684	NEUROSURGICAL FOCUS	AMER ASSOC NEUROLOGICAL SURGEONS	0	NEUROSCIENCE,,
1094-3501	LANGUAGE LEARNING & TECHNOLOGY	UNIV HAWAII, NATL FOREIGN LANGUAGE RESOURCE CENTER	0	LINGUISTICS,
1094-4087	OPTICS EXPRESS	OPTICAL SOC AMER	0	PHYSICS AND CHEMISTRY,,
1094-8074	PALAEONTOLOGIA ELECTRONICA	Self Owned - Non-Profit Society	0	NULL,,
1095-8339	Brain and Behavior	Wiley	0	NULL,,
1097-0355	Influenza and Other Respiratory Viruses	Wiley	0	NULL,,
1098-0997	Infectious Diseases in Obstetrics and Gynecology	Hindawi	0	NULL,,
1098-2337	Aging Cell	Wiley	0	NULL,,
1098-2353	Clinical and Experimental Dental Research	Wiley	0	NULL,,
1098-2795	Molecular Systems Biology	Wiley	0	NULL,,
1098-4402	PHYSICAL REVIEW SPECIAL TOPICS-ACCELERATORS AND BEAMS	AMERICAN PHYSICAL SOC	0	PHYSICS AND CHEMISTRY,,
1099-0526	Complexity	Hindawi	0	NULL,,
1099-1050	Health Expectations	Wiley	0	NULL,,
1099-1425	Journal of Scheduling	Springer	1	NULL,,
1099-1557	Pharmacology, Research and Perspectives	Wiley	0	NULL,
1099-4300	ENTROPY	MOLECULAR DIVERSITY PRESERVATION INTERNATIONAL	0	PHYSICS AND CHEMISTRY,,
1109-4028	Chemistry Education Research and Practice	Royal Soc of Chemistry	0	EDUCATION,,
1110-7251	Biomed Research International	Hindawi	0	NULL,,
1125-7865	Dendrochronologia	Elsevier	1	NULL,,
1126-5434	Calcolo	Springer	1	NULL,,
1128-045X	Techniques in Coloproctology	Springer	1	NULL,,
1129-2377	The Journal of Headache and Pain	Springer	0	NULL,,
1129-6569	Decisions in Economics and Finance	Springer	1	NULL,,
1133-455X	Revista de Economia Aplicada	Universidad de Zaragoza	0	ECONOMICS,,
1158-1360	Sexologies	Elsevier	1	NULL,,
1166-3413	L'aide-soignante	Elsevier	1	NULL,,
1175-8708	English Teaching-Practice and Critique	Self Owned - Non-Profit Society	0	EDUCATION,,
1176-6328	Neuropsychiatric Disease and Treatment	DOVE MEDICAL PRESS LTD	0	NEUROSCIENCE,,
1176-9092	Clinical Interventions in Aging	Dove Press	0	MEDICINE,,
1176-9343	Evolutionary Bioinformatics	Libertas Academica	0	MOLECULAR AND CELL BIOLOGY,,
1177-8881	Drug Design, Development and Therapy	DOVE MEDICAL PRESS LTD	0	MEDICINE,
1177-889X	Patient Prefence and Adherence 	DOVE MEDICAL PRESS LTD	0	MEDICINE,,
1178-1661	The Patient - Patient-Centered Outcomes Research	Springer	1	NULL,,
1178-2013	International Journal of Nanomedicine	Dove Press	0	NULL,,
1178-6930	ONCOTARGETS AND THERAPY	Dove Press	0	ONCOLOGY,,
