pub_name,journal_name,date,journal_type,issn,apc
Hindawi,International Journal of Spectroscopy,2016-06-18,OA,1687-9457,1000
Hindawi,International Journal of Telemedicine and Applications,2016-06-18,OA,1687-6423,1000
Hindawi,International Journal of Vascular Medicine,2016-06-18,OA,2090-2832,800
Hindawi,International Journal of Zoology,2016-06-18,OA,1687-8485,600
Hindawi,Journal of Addiction,2016-06-18,OA,2090-7850,800
Hindawi,Journal of Aging Research,2016-06-18,OA,2090-2212,800
Hindawi,Journal of Applied Chemistry,2016-06-18,OA,2314-6923,600
Hindawi,Journal of Cancer Epidemiology,2016-06-18,OA,1687-8566,800
Hindawi,Journal of Catalysts,2016-06-18,OA,2314-5110,600
Hindawi,Journal of Combustion,2016-06-18,OA,2090-1976,1000
Hindawi,Journal of Computational Engineering,2016-06-18,OA,2314-6443,600
Hindawi,Journal of Construction Engineering,2016-06-18,OA,2314-5986,600
Hindawi,Journal of Crystallography,2016-06-18,OA,2314-5994,600
Hindawi,Journal of Drug Delivery,2016-06-18,OA,2090-3022,800
Hindawi,Journal of Energy,2016-06-18,OA,2314-615X,600
Hindawi,Journal of Environmental and Public Health,2016-06-18,OA,1687-9813,800
Hindawi,Journal of Geological Research,2016-06-18,OA,1687-8841,600
Hindawi,Journal of Immunology Research,2016-06-18,OA,2314-7156,1500
Hindawi,Journal of Marine Biology,2016-06-18,OA,1687-949X,600
Hindawi,Journal of Mathematics,2016-06-18,OA,2314-4785,600
Hindawi,Journal of Nanomaterials,2016-06-18,OA,1687-4129,1500
Hindawi,Journal of Neurodegenerative Diseases,2016-06-18,OA,2090-8601,800
Hindawi,Journal of Nucleic Acids,2016-06-18,OA,2090-021X,1000
Hindawi,Journal of Nutrition and Metabolism,2016-06-18,OA,2090-0732,800
Hindawi,Journal of Oncology,2016-06-18,OA,1687-8469,1000
Hindawi,Journal of Ophthalmology,2016-06-18,OA,2090-0058,2000
Hindawi,Journal of Parasitology Research,2016-06-18,OA,2090-0031,800
Hindawi,Journal of Petroleum Engineering,2016-06-18,OA,2314-5013,600
Hindawi,Journal of Probability and Statistics,2016-06-18,OA,1687-9538,600
Hindawi,Journal of Renewable Energy,2016-06-18,OA,2314-4394,600
Hindawi,Journal of Robotics,2016-06-18,OA,1687-9619,1000
Hindawi,Journal of Sexually Transmitted Diseases,2016-06-18,OA,2090-7958,800
Hindawi,Journal of Skin Cancer,2016-06-18,OA,2090-2913,1000
Hindawi,Journal of Sports Medicine,2016-06-18,OA,2314-6176,800
Hindawi,Journal of Thermodynamics,2016-06-18,OA,1687-9252,600
Hindawi,Journal of Toxicology,2016-06-18,OA,1687-8205,800
Hindawi,Journal of Tropical Medicine,2016-06-18,OA,1687-9694,800
Hindawi,Journal of Veterinary Medicine,2016-06-18,OA,2314-6966,800
Hindawi,Lung Cancer International,2016-06-18,OA,2090-3200,800
Hindawi,Malaria Research and Treatment,2016-06-18,OA,2044-4362,800
Hindawi,Mediators of Inflammation,2016-06-18,OA,1466-1861,2000
Hindawi,Mobile Information Systems,2016-06-18,OA,1875-905X,1250
Hindawi,Molecular Biology International,2016-06-18,OA,2090-2190,800
Hindawi,Neural Plasticity,2016-06-18,OA,1687-5443,1500
Hindawi,Neuroscience Journal,2016-06-18,OA,2314-4270,800
Hindawi,Nursing Research and Practice,2016-06-18,OA,2090-1437,800
Hindawi,Oxidative Medicine and Cellular Longevity,2016-06-18,OA,1942-0994,1500
Hindawi,Pain Research and Treatment,2016-06-18,OA,2090-1550,1000
Hindawi,Pathology Research International,2016-06-18,OA,2042-003X,800
Hindawi,PPAR Research,2016-06-18,OA,1687-4765,1500
Hindawi,Psyche: A Journal of Entomology,2016-06-18,OA,1687-7438,600
Hindawi,Pulmonary Medicine,2016-06-18,OA,2090-1844,800
Hindawi,Rehabilitation Research and Practice,2016-06-18,OA,2090-2875,800
Hindawi,Science and Technology of Nuclear Installations,2016-06-18,OA,1687-6083,1250
Hindawi,Scientifica,2016-06-18,OA,2090-908X,1000
Hindawi,Shock and Vibration,2016-06-18,OA,1875-9203,1500
Hindawi,Smart Materials Research,2016-06-18,OA,2090-357X,600
Hindawi,Stroke Research and Treatment,2016-06-18,OA,2042-0056,800
Hindawi,The Scientific World Journal,2016-06-18,OA,1537-744X,800
Hindawi,Tuberculosis Research and Treatment,2016-06-18,OA,2090-1518,800
Hindawi,VLSI Design,2016-06-18,OA,1563-5171,1000
Hindawi,Active and Passive Electronic Components,2016-06-18,OA,1563-5031,1000
Hindawi,Advances in Artificial Neural Systems,2016-06-18,OA,1687-7608,600
Hindawi,Advances in Bioinformatics,2016-06-18,OA,1687-8035,1000
Hindawi,Advances in Civil Engineering,2016-06-18,OA,1687-8094,1000
Hindawi,Advances in Condensed Matter Physics,2016-06-18,OA,1687-8124,1500
Hindawi,Advances in Human-Computer Interaction,2016-06-18,OA,1687-5907,1000
Hindawi,Advances in Mathematical Physics,2016-06-18,OA,1687-9139,1500
Hindawi,Advances in Meteorology,2016-06-18,OA,1687-9317,1500
Hindawi,Advances in Numerical Analysis,2016-06-18,OA,1687-9570,600
Hindawi,Advances in Operations Research,2016-06-18,OA,1687-9155,1000
Hindawi,Advances in Orthopedic Surgery,2016-06-18,OA,2314-8233,600
Hindawi,Advances in Pharmacological Sciences,2016-06-18,OA,1687-6342,1000
Hindawi,Advances in Tribology,2016-06-18,OA,1687-5923,1000
Hindawi,Anatomy Research International,2016-06-18,OA,2090-2751,800
Hindawi,Anesthesiology Research and Practice,2016-06-18,OA,1687-6970,1000
Hindawi,Applied Bionics and Biomechanics,2016-06-18,OA,1754-2103,1250
Hindawi,Archaea,2016-06-18,OA,1472-3654,1000
Hindawi,Autoimmune Diseases,2016-06-18,OA,2090-0430,1000
Hindawi,Biochemistry Research International,2016-06-18,OA,2090-2255,1000
Hindawi,BioMed Research International,2016-06-18,OA,2314-6141,2000
Hindawi,Bone Marrow Research,2016-06-18,OA,2090-3006,1000
Hindawi,Canadian Journal of Infectious Diseases and Medical Microbiology,2016-06-18,OA,1918-1493,2000
Hindawi,Cardiology Research and Practice,2016-06-18,OA,2090-0597,1000
Hindawi,Case Reports in Anesthesiology,2016-06-18,OA,2090-6390,400
Hindawi,Case Reports in Critical Care,2016-06-18,OA,2090-6439,400
Hindawi,Case Reports in Dermatological Medicine,2016-06-18,OA,2090-6471,400
Hindawi,Case Reports in Endocrinology,2016-06-18,OA,2090-651X,500
Hindawi,Case Reports in Genetics,2016-06-18,OA,2090-6552,400
Hindawi,Case Reports in Hepatology,2016-06-18,OA,2090-6595,400
Hindawi,Case Reports in Infectious Diseases,2016-06-18,OA,2090-6633,400
Hindawi,Case Reports in Nephrology,2016-06-18,OA,2090-665X,400
Hindawi,Case Reports in Obstetrics and Gynecology,2016-06-18,OA,2090-6692,400
Hindawi,Case Reports in Ophthalmological Medicine,2016-06-18,OA,2090-6730,400
Hindawi,Case Reports in Otolaryngology,2016-06-18,OA,2090-6773,400
Hindawi,Case Reports in Pediatrics,2016-06-18,OA,2090-6811,400
Hindawi,Case Reports in Pulmonology,2016-06-18,OA,2090-6854,400
Hindawi,Case Reports in Rheumatology,2016-06-18,OA,2090-6897,400
Hindawi,Case Reports in Transplantation,2016-06-18,OA,2090-6951,400
Hindawi,Case Reports in Vascular Medicine,2016-06-18,OA,2090-6994,400
Hindawi,Chinese Journal of Mathematics,2016-06-18,OA,2314-8071,600
Hindawi,Chromatography Research International,2016-06-18,OA,2090-3510,600
Hindawi,Computational and Mathematical Methods in Medicine,2016-06-18,OA,1748-6718,1500
Hindawi,Computational Intelligence and Neuroscience,2016-06-18,OA,1687-5273,1500
Hindawi,Critical Care Research and Practice,2016-06-18,OA,2090-1313,1000
Hindawi,Dataset Papers in Science,2016-06-18,OA,2314-8497,500
Hindawi,Dermatology Research and Practice,2016-06-18,OA,1687-6113,1000
Hindawi,Discrete Dynamics in Nature and Society,2016-06-18,OA,1607-887X,1750
Hindawi,Economics Research International,2016-06-18,OA,2090-2131,500
Hindawi,Emergency Medicine International,2016-06-18,OA,2090-2859,1000
Hindawi,Epidemiology Research International,2016-06-18,OA,2090-2980,600
Hindawi,Evidence-Based Complementary and Alternative Medicine,2016-06-18,OA,1741-4288,2250
Hindawi,Gastroenterology Research and Practice,2016-06-18,OA,1687-630X,1500
Hindawi,HPB Surgery,2016-06-18,OA,1607-8462,800
Hindawi,Infectious Diseases in Obstetrics and Gynecology,2016-06-18,OA,1098-0997,800
Hindawi,Interdisciplinary Perspectives on Infectious Diseases,2016-06-18,OA,1687-7098,800
Hindawi,International Journal of Agronomy,2016-06-18,OA,1687-8167,1000
Hindawi,International Journal of Analysis,2016-06-18,OA,2314-4998,600
Hindawi,International Journal of Antennas and Propagation,2016-06-18,OA,1687-5877,1750
Hindawi,International Journal of Bacteriology,2016-06-18,OA,2314-596X,800
Hindawi,International Journal of Biomaterials,2016-06-18,OA,1687-8795,1000
Hindawi,International Journal of Chemical Engineering,2016-06-18,OA,1687-8078,1000
Hindawi,International Journal of Combinatorics,2016-06-18,OA,1687-9171,600
Hindawi,International Journal of Computer Games Technology,2016-06-18,OA,1687-7055,1000
Hindawi,International Journal of Dentistry,2016-06-18,OA,1687-8736,800
Hindawi,International Journal of Digital Multimedia Broadcasting,2016-06-18,OA,1687-7586,1000
Hindawi,International Journal of Ecology,2016-06-18,OA,1687-9716,600
Hindawi,International Journal of Endocrinology,2016-06-18,OA,1687-8345,1750
Hindawi,International Journal of Food Science,2016-06-18,OA,2314-5765,800
Hindawi,International Journal of Genomics,2016-06-18,OA,2314-4378,1500
Hindawi,International Journal of Inflammation,2016-06-18,OA,2042-0099,800
Hindawi,International Journal of Manufacturing Engineering,2016-06-18,OA,2314-5781,600
Hindawi,International Journal of Microwave Science and Technology,2016-06-18,OA,1687-5834,600
Hindawi,International Journal of Optics,2016-06-18,OA,1687-9392,1000
Hindawi,International Journal of Pediatrics,2016-06-18,OA,1687-9759,800
Hindawi,International Journal of Photoenergy,2016-06-18,OA,1687-529X,1250
Hindawi,International Journal of Polymer Science,2016-06-18,OA,1687-9430,1250
Hindawi,International Journal of Reproductive Medicine,2016-06-18,OA,2314-5757,800
Hindawi,International Journal of Rotating Machinery,2016-06-18,OA,1542-3034,1000
Hindawi,International Journal of Surgical Oncology,2016-06-18,OA,2090-1410,800
Hindawi,International Journal of Vehicular Technology,2016-06-18,OA,1687-5710,600
Hindawi,International Scholarly Research Notices,2016-06-18,OA,2356-7872,600
Hindawi,Journal of Allergy,2016-06-18,OA,1687-9791,800
Hindawi,Journal of Analytical Methods in Chemistry,2016-06-18,OA,2090-8873,1250
Hindawi,Journal of Anthropology,2016-06-18,OA,2090-4053,500
Hindawi,Journal of Applied Mathematics,2016-06-18,OA,1687-0042,800
Hindawi,Journal of Astrophysics,2016-06-18,OA,2314-6192,600
Hindawi,Journal of Biomarkers,2016-06-18,OA,2090-7699,800
Hindawi,Journal of Botany,2016-06-18,OA,2090-0139,600
Hindawi,Journal of Chemistry,2016-06-18,OA,2090-9071,1250
Hindawi,Journal of Complex Analysis,2016-06-18,OA,2314-4971,1000
Hindawi,Journal of Computer Networks and Communications,2016-06-18,OA,2090-715X,1000
Hindawi,Journal of Control Science and Engineering,2016-06-18,OA,1687-5257,1000
Hindawi,Journal of Diabetes Research,2016-06-18,OA,2314-6753,1500
Hindawi,Journal of Electrical and Computer Engineering,2016-06-18,OA,2090-0155,600
Hindawi,Journal of Engineering,2016-06-18,OA,2314-4912,1000
Hindawi,Journal of Fluids,2016-06-18,OA,2314-6826,600
Hindawi,Journal of Function Spaces,2016-06-18,OA,2314-8888,1500
Hindawi,Journal of Healthcare Engineering,2016-06-18,OA,2040-2309,1250
Hindawi,Journal of Lipids,2016-06-18,OA,2090-3049,1000
Hindawi,Journal of Materials,2016-06-18,OA,2314-4874,600
Hindawi,Journal of Mycology,2016-06-18,OA,2314-6168,600
Hindawi,Journal of Nanoparticles,2016-06-18,OA,2314-4858,600
Hindawi,Journal of Nonlinear Dynamics,2016-06-18,OA,2314-6893,600
Hindawi,Journal of Obesity,2016-06-18,OA,2090-0716,800
Hindawi,Journal of Operators,2016-06-18,OA,2314-5072,600
Hindawi,Journal of Optimization,2016-06-18,OA,2314-6486,1000
Hindawi,Journal of Osteoporosis,2016-06-18,OA,2042-0064,800
Hindawi,Journal of Pathogens,2016-06-18,OA,2090-3065,1000
Hindawi,Journal of Pharmaceutics,2016-06-18,OA,2090-7818,800
Hindawi,Journal of Polymers,2016-06-18,OA,2314-6877,600
Hindawi,Journal of Pregnancy,2016-06-18,OA,2090-2735,800
Hindawi,Journal of Sensors,2016-06-18,OA,1687-7268,1500
Hindawi,Journal of Signal Transduction,2016-06-18,OA,2090-1747,800
Hindawi,Journal of Solar Energy,2016-06-18,OA,2314-6230,600
Hindawi,Journal of Spectroscopy,2016-06-18,OA,2314-4939,1250
Hindawi,Journal of Theoretical Chemistry,2016-06-18,OA,2314-6184,600
Hindawi,Journal of Thyroid Research,2016-06-18,OA,2042-0072,1000
Hindawi,Journal of Transplantation,2016-06-18,OA,2090-0015,800
Hindawi,Leukemia Research and Treatment,2016-06-18,OA,2090-3227,800
Hindawi,Mathematical Problems in Engineering,2016-06-18,OA,1563-5147,2000
Hindawi,Minimally Invasive Surgery,2016-06-18,OA,2090-1453,800
Hindawi,Modelling and Simulation in Engineering,2016-06-18,OA,1687-5605,600
Hindawi,Multiple Sclerosis International,2016-06-18,OA,2090-2662,800
Hindawi,Neurology Research International,2016-06-18,OA,2090-1860,800
Hindawi,New Journal of Science,2016-06-18,OA,2090-8520,600
Hindawi,Obstetrics and Gynecology International,2016-06-18,OA,1687-9597,800
Hindawi,Organic Chemistry International,2016-06-18,OA,2090-2018,600
Hindawi,Pain Research and Management,2016-06-18,OA,1918-1523,2000
Hindawi,Parkinson’s Disease,2016-06-18,OA,2042-0080,1250
Hindawi,Physics Research International,2016-06-18,OA,2090-2239,600
Hindawi,Plastic Surgery International,2016-06-18,OA,2090-147X,800
Hindawi,Prostate Cancer,2016-06-18,OA,2090-312X,1000
Hindawi,Psychiatry Journal,2016-06-18,OA,2314-4335,800
Hindawi,Radiology Research and Practice,2016-06-18,OA,2090-195X,1000
Hindawi,Sarcoma,2016-06-18,OA,1369-1643,800
Hindawi,Schizophrenia Research and Treatment,2016-06-18,OA,2090-2093,800
Hindawi,Scientific Programming,2016-06-18,OA,1875-919X,1250
Hindawi,Sleep Disorders,2016-06-18,OA,2090-3553,800
Hindawi,Stem Cells International,2016-06-18,OA,1687-9678,2000
Hindawi,Surgery Research and Practice,2016-06-18,OA,2356-6124,800
Hindawi,Thrombosis,2016-06-18,OA,2090-1496,800
Hindawi,Ulcers,2016-06-18,OA,2090-1534,600
Hindawi,Veterinary Medicine International,2016-06-18,OA,2042-0048,800
